Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0.5, 0.5, 0.05)",125.6,113.0,135.0,6.499230723708768,1063.62343,956.7539999999999,1167.5096000000003,63.4614267650209,"[-0.32095283  0.32410191 -0.17509162 -0.14292291  0.90185082  0.05591582
  0.55816522  0.01710128  0.6560151   0.63642786 -0.45164201 -0.75369978
  0.17073573 -0.01028611 -0.41203268  0.93726662  0.41719451 -0.56070582
 -0.99856136  0.58856513 -0.84352778 -0.65600881  0.40387123  0.10199771
  0.04461266 -0.6637777  -0.74322695 -0.66919202  0.07649017 -0.35770437
 -0.18615512  0.49924422  0.19001383  0.72742104  0.17323937  0.45376019
 -0.41638796  0.76831821  0.3629225   0.32488704 -0.81987157  0.71018694
 -0.00145174  0.23228443  0.75174271  0.91670799  0.89633328 -0.80279711
 -0.42265184 -0.13278584  0.65705267  0.81339189  0.46623036  0.94560875
 -0.00429029 -0.09357582 -0.73864752  0.0711903   0.57935141 -0.52234185
  0.43007628  0.65890025  0.64205264 -0.43906148  0.80557105  0.54250602
 -0.58516824  0.38159512  0.06809469  0.70975348  0.53219755 -0.18798995
  0.62954339  0.35893268  0.87053847  0.2889151   0.6022584  -0.65343159
  0.47620041 -0.84656547 -0.65706026  0.66738762 -0.95550575 -0.99052744
 -0.90684056  0.97773665 -0.40851501  0.86982752  0.62855948 -0.02633932
 -0.59682368  0.15372993 -0.58450364  0.98220189 -0.47846289 -0.57467411
  0.20445966  0.95020895 -0.27725509  0.78797478 -0.37870727  0.08589882
  0.24329336  0.03294337 -0.06043697  0.79343499 -0.03055485  0.82967875
  0.21932961  0.20066283 -0.54408575 -0.71301284 -0.65884948 -0.07488321
  0.18661859  0.42392745  0.39967421  0.40098069 -0.83505184 -0.97436967
 -0.67914936  0.77276641  0.38246342  0.53374141 -0.6067364   0.9996099
  0.986297   -0.3693034   0.28905738  0.31545844  0.22654927  0.39091554
  0.51986102  0.83501464 -0.07863537 -0.89368703  0.75192921  0.62109802
  0.70509036  0.91252461 -0.77849725]"
"(10, 0.25, 0.5, 0.5, 0.15)",77.3,70.0,82.0,2.968164415931166,2848.48283,2787.3938000000003,2940.7382000000002,39.72588772141034,"[ 0.82211842 -0.75631277  0.84210641 -0.64264715  0.6303832  -0.98570862
 -0.49917425 -0.50405846 -0.73831491 -0.57321319 -0.63946996 -0.47016699
 -0.99218688 -0.39983034 -0.57897971 -0.14144464  0.22576611  0.80676277
 -0.85030148 -0.81330197  0.83918854  0.384765   -0.0711525  -0.31947326
  0.95783916 -0.41926784  0.44563279  0.36520941 -0.06446208  0.90539263
  0.0444499  -0.62156189 -0.73382231 -0.05474965 -0.31877278 -0.31028304
 -0.27819649 -0.15201061 -0.36878341  0.89794548 -0.32534427 -0.2215223
  0.26478858  0.20226277  0.29581305 -0.11813551  0.85523589  0.32772386
  0.09056774 -0.61279929 -0.41357066 -0.00569983 -0.03510571 -0.33037771
 -0.05276874 -0.04477604  0.41952971  0.2490857   0.93976938  0.98127083
 -0.0931461  -0.49669297  0.87785906  0.08820256 -0.3939052   0.47722774
 -0.66384364  0.45973775  0.15890506  0.93552051  0.46131759  0.69156006
 -0.26274234 -0.88477378 -0.63426173  0.54564808 -0.23997998 -0.96305093
  0.55042782  0.20604345  0.47565667 -0.19473481  0.36332874 -0.79466466
  0.80200615 -0.3228829  -0.39923288  0.6656077   0.19649946 -0.35656327
 -0.83755799 -0.9142137  -0.65659864 -0.01849439  0.4383957   0.58527388
 -0.60649518 -0.85939261 -0.35679157 -0.77570748  0.49541069  0.41805423
 -0.44321298 -0.42005618  0.39027828 -0.64014736  0.91796693 -0.16904722
 -0.3641296  -0.73568015  0.61326686 -0.92800704 -0.53253079  0.24097068
 -0.94833451  0.76529307  0.66389903  0.81385159  0.79906177 -0.49931509
  0.97147352  0.69669318 -0.07415087 -0.05760266  0.82316695  0.05565675
  0.49806386 -0.63032947 -0.82624255  0.13928018  0.32718125  0.01209198
 -0.52983472 -0.93588971 -0.19166858  0.39145129 -0.67416969 -0.5630118
 -0.00631485  0.83117796 -0.97523574]"
"(10, 0.25, 0.5, 1, 0.05)",204.5,199.0,211.0,4.104875150354759,1284.68905,1165.1200999999996,1441.3375,88.07615807534133,"[ 0.6772532   0.11527397  0.30550793 -0.76831519 -0.81903645  0.97689568
 -0.70154695 -0.9961295   0.9713674  -0.67182703  0.59282732 -0.09139661
  0.85307086  0.84550904 -0.99178691 -0.31812728  0.33595159 -0.73675587
 -0.39017643 -0.6102789   0.98944939  0.99381091  0.38953891 -0.44223206
  0.9359897  -0.56872639  0.2490887   0.07716247 -0.41354575 -0.51321876
  0.09338149 -0.88245887 -0.69096278 -0.27363259 -0.1993202  -0.98634273
  0.5517978   0.56275198 -0.45508191 -0.20348085  0.05834669 -0.63642851
 -0.917302    0.23204775  0.06272512 -0.80243676 -0.24142977 -0.92663899
 -0.02640887 -0.95012833  0.35708112  0.9931975  -0.70297889 -0.12316568
  0.26425256  0.63046939 -0.33133115 -0.03208673 -0.34491047  0.73993032
 -0.30732127  0.82895364  0.03429864 -0.69471058  0.57144857 -0.34938209
 -0.5363544   0.94144134 -0.77180824 -0.50208451 -0.82666348 -0.00998798
 -0.31508718 -0.42784266 -0.29356078  0.11763059 -0.50387682  0.30368749
  0.05031553 -0.24725246  0.10008529 -0.95393368  0.97784642 -0.85491684
 -0.06714457  0.3602062  -0.91832275 -0.76991863 -0.86202031 -0.37062112
 -0.30516481  0.08326388  0.94167999  0.59794166 -0.64603637 -0.94544908
 -0.14797909  0.76982126  0.92252708  0.60551409  0.13740009 -0.35146683
  0.53539163 -0.84637937  0.63379179 -0.05924556  0.1982401  -0.74863636
 -0.76488327 -0.05335416 -0.68339486 -0.34972903  0.78838221 -0.89860511
  0.1120961  -0.37097478  0.71092874 -0.84765455 -0.91458185 -0.60636974
  0.87199382 -0.36512624  0.77389754 -0.72769252  0.9299254  -0.18298863
  0.12301578 -0.127358   -0.81300965  0.17449447  0.37961813  0.46136846
 -0.5563648   0.88249987  0.84206309  0.98504753 -0.41651736  0.33247249
  0.64398438  0.81115054 -0.49092959]"
"(10, 0.25, 0.5, 1, 0.15)",167.0,159.0,178.0,5.291502622129181,805.3694699999999,756.3008,847.5514999999999,26.689511959871034,"[ 0.09466152 -0.96956997  0.21243169 -0.5351062   0.35712619 -0.6594448
 -0.05451933 -0.92547181  0.44672987  0.79999896  0.24981002  0.18634139
 -0.12632474  0.86310583  0.99459664 -0.20311136 -0.88316723  0.31324426
  0.17172293  0.36332973  0.17303422  0.77328749 -0.74843886 -0.66280441
 -0.32430178 -0.00209328  0.46842468  0.29764999  0.00391811  0.83479563
 -0.45974919  0.37510724 -0.14819876 -0.6472887   0.7406364   0.50929808
 -0.2870702   0.15513301 -0.34679438  0.43907622 -0.77919891 -0.47287234
  0.47824058  0.13798938 -0.99278622  0.75741397 -0.52223169 -0.89775067
  0.12706945 -0.09547798  0.04600747  0.06669197  0.92112371  0.25749883
  0.5346744  -0.16767749 -0.3514167   0.15287689 -0.52173775 -0.99716915
 -0.99208717 -0.9534787  -0.705472    0.82380648  0.9294483  -0.09102239
 -0.91369945 -0.30301631  0.66044892  0.92832275 -0.63389012  0.1097933
  0.4671685  -0.35164903  0.68655902 -0.40071881 -0.15173613 -0.80629798
 -0.96758545  0.68378388  0.89211454  0.25013238 -0.49613993 -0.46069439
 -0.15421811  0.52841916 -0.27524795 -0.83311195  0.89569808  0.03833018
  0.01983181  0.00358444  0.4979699   0.97592314  0.93482586 -0.57848209
  0.04580664  0.6181322   0.32265201  0.34875088  0.30445807  0.5458556
  0.44569817  0.14648609  0.13728219 -0.79431623  0.00104112  0.62300866
 -0.38136973  0.48665926 -0.94930564  0.81858045 -0.5681485   0.19739933
 -0.32322352  0.59424758  0.38226163  0.14458112 -0.56452329  0.61894201
  0.68386524  0.50868411 -0.61193598  0.77570045  0.67774351 -0.73666921
  0.37706775 -0.55507745 -0.9995723  -0.51376602  0.98996503 -0.06335096
  0.75732022  0.61254101  0.64278463  0.35460333 -0.34344206  0.43256342
  0.99769103 -0.54080623 -0.70270417]"
"(10, 0.25, 0.5, 2, 0.05)",131.8,125.0,137.0,3.280243893371345,9966.21317,9221.894299999998,10347.589399999999,295.53395967294875,"[-0.11593698  0.76437321 -0.6487777  -0.97930823 -0.8962887   0.9557663
  0.51273406 -0.87186666  0.33618582 -0.77949115  0.7157369   0.44243519
  0.78309048 -0.55995979  0.45493055  0.19679477  0.53707746  0.73575138
  0.03989824  0.76881413 -0.80830542 -0.97934086  0.0953684  -0.55990584
  0.97422492  0.69240731  0.70843243  0.53782671 -0.39768595 -0.77720936
  0.63895927 -0.22085227  0.86633166 -0.38160916 -0.07403785 -0.86349177
  0.25659489 -0.5774922   0.00240746  0.73870784  0.00164719 -0.9298746
  0.20899744  0.73620259  0.73199382  0.8890208  -0.01397455  0.74478224
  0.78774476 -0.17103498  0.43062718 -0.02189403  0.314486   -0.04469047
 -0.71474638  0.50675964 -0.6069035   0.04724897  0.88932879 -0.7463221
 -0.62102158 -0.94107399 -0.58423363 -0.38187607 -0.62066576  0.67933722
  0.66112819  0.17646654 -0.3831494  -0.27132817 -0.17459472  0.27374768
  0.39710588 -0.24109113 -0.94517639  0.47258874  0.58189473  0.22029381
  0.61546487 -0.61501955 -0.27781749 -0.25104999  0.84590948  0.8529965
  0.48068883  0.99955587 -0.55787788  0.70488991 -0.27618477  0.26525224
 -0.83068937 -0.04374703 -0.65519997  0.14020943 -0.25836027  0.11173373
 -0.07225825 -0.0300325   0.05839437  0.31829729 -0.75617833  0.02437858
 -0.68727279  0.10253225  0.19114776  0.88046995  0.0070902  -0.54462316
  0.63855109  0.81638511 -0.61622292 -0.48604629 -0.99050442 -0.70729359
  0.85590245  0.96483947 -0.59781945 -0.99021354 -0.86495122 -0.54178972
  0.37061498 -0.24461159  0.66351464 -0.55310833  0.26487072  0.37320151
 -0.52503442  0.96336169  0.59600831 -0.15816558  0.89753094 -0.34178827
  0.80076112  0.16031522 -0.75424457 -0.71730395  0.77476752  0.56660479
  0.69099688 -0.0506049   0.89878298]"
"(10, 0.25, 0.5, 2, 0.15)",133.2,129.0,140.0,3.340658617698013,9690.08892,9155.535199999998,10362.225799999997,334.4105054791269,"[ 0.3394469  -0.36893737 -0.27820399  0.98615128  0.69889892 -0.16975791
  0.60214081 -0.71805162 -0.60090616  0.59572481 -0.91382014  0.63047961
  0.48253884  0.32738382  0.15763185  0.22582587 -0.79936423 -0.68112318
 -0.7086825   0.65355581 -0.01872406  0.43671096  0.80121113  0.41838555
  0.59340238  0.29299873  0.30646228 -0.63448255 -0.92913014  0.62714077
 -0.12348674 -0.98865986  0.51069914  0.40566992  0.91640971  0.67640204
  0.1703446  -0.05057032  0.88629174  0.49131229  0.60049811  0.8774036
 -0.7453802   0.96094369 -0.28527139 -0.51853423 -0.02449716  0.85837022
  0.69988481  0.98139535  0.82706703 -0.34264213  0.73590748  0.03242454
  0.01517905 -0.44066592 -0.48171955  0.57424546  0.83999207 -0.95494886
 -0.31345365  0.53649322 -0.53565877 -0.8089276   0.17718273 -0.90180616
 -0.59089079 -0.8286474  -0.09721178 -0.27974665  0.80433866 -0.61057006
 -0.0063796   0.16226571 -0.47754809  0.65234209  0.11533459 -0.06776721
  0.4746816  -0.52798412 -0.92402288 -0.27247197  0.66371553 -0.62189707
 -0.67124115  0.96155528 -0.84544486 -0.10686655 -0.05806299  0.04133084
  0.89122805  0.20129678  0.37598712 -0.02148991  0.71716585  0.31752326
  0.89618895  0.98775386 -0.80602482  0.24721729  0.80977333  0.85461557
  0.76228997 -0.79218937 -0.53649276  0.12549641  0.25009195 -0.80968716
 -0.90143372 -0.93399499 -0.92771801 -0.74867229  0.13385976 -0.90117042
  0.18394521  0.23679673 -0.85941878  0.83093979 -0.84224395 -0.42301362
  0.79122493  0.91897069  0.40941998  0.76453998  0.23100555  0.79382258
  0.80693266  0.23023102 -0.02321138 -0.40870223 -0.03597781  0.82227102
 -0.0433721  -0.75813696  0.0196508  -0.37279867  0.13370424  0.34969564
 -0.10296182  0.16141261  0.09662034]"
"(10, 0.5, 0.25, 0.5, 0.05)",91.2,86.0,97.0,3.4871191548325386,1347.3250899999998,1301.4382999999996,1382.9557999999997,21.184603271548447,"[-0.81151399 -0.10120946  0.37228448 -0.00732831  0.73006304  0.50081066
 -0.99814682 -0.37087529  0.4418117   0.1821005   0.76319601  0.76843234
 -0.38839759 -0.67355679  0.20436212  0.45089317 -0.48092832  0.47791451
 -0.82494382 -0.87909905 -0.85711755  0.70452532 -0.7244112   0.14870069
  0.7455314  -0.81066696 -0.08977062  0.39301139 -0.75572969  0.43643202
  0.24848283 -0.43701211 -0.02756759  0.20922892 -0.6220415   0.58354569
  0.41071039 -0.53601282 -0.18750405  0.08678307  0.88790703 -0.93661679
 -0.67098544 -0.04639692 -0.76070943  0.89561043  0.75385975  0.26319542
  0.21762158  0.42626551  0.79153129 -0.25755519 -0.3503524   0.29814609
  0.35721344  0.15386949 -0.8759906   0.72067909 -0.15407343  0.88149449
  0.52186879 -0.51429362  0.25961828 -0.59327016  0.09244316 -0.36734854
  0.39201644  0.71587145 -0.99400478 -0.13875208 -0.24133668 -0.28751935
  0.36289533  0.1891415   0.61971496 -0.70773379  0.21975635  0.4181326
  0.29083439 -0.59312    -0.49902429 -0.70330162  0.9685935   0.72064126
 -0.21843678  0.39492281 -0.9129621  -0.72815645 -0.5437356  -0.81081964
 -0.38290054  0.37603954  0.33081951 -0.04282785  0.38869621  0.44283262
  0.51363221  0.88072018  0.2702909   0.38255096  0.15816758  0.78648574
  0.94532762  0.49717141 -0.96363741 -0.48204458 -0.55133732 -0.72442155
  0.9012307  -0.765185   -0.21167698 -0.95233324 -0.98626316 -0.27600736
  0.04893676  0.32400649 -0.77783989 -0.6851786   0.29041636 -0.76216477
  0.565705    0.30149336  0.97211072 -0.61682666 -0.32398392 -0.52953247
 -0.96290603 -0.29154877 -0.77572395 -0.8934983  -0.1713016  -0.07580171
 -0.52260932 -0.78671242  0.74810744 -0.31059612  0.62782291 -0.77906547
 -0.97281596  0.44363597 -0.95565879]"
"(10, 0.5, 0.25, 0.5, 0.15)",234.2,228.0,239.0,3.515679166249389,684.25036,648.9721000000001,738.7846999999997,29.186720863577584,"[-1.01485797e-01 -8.06702098e-01  5.09926642e-02 -9.68636913e-01
 -3.42531144e-02 -5.80144890e-02 -6.98449688e-01 -7.02861782e-01
 -8.87035832e-02 -6.72872534e-01  4.31154477e-01 -1.37091200e-01
  2.04926527e-01 -3.24003004e-02 -3.61960348e-01 -7.12259170e-01
 -7.58914198e-01  6.86768595e-01  4.65964282e-01 -7.48045443e-01
  4.02221243e-01 -6.70469294e-01  7.23722791e-01 -1.22809142e-01
  5.00042222e-01  2.67846919e-01  9.62919185e-01  6.82113069e-01
 -2.52285722e-01 -2.29613505e-02  6.73154620e-01  4.06448150e-01
 -6.01955625e-01 -2.07853008e-02 -7.76797162e-01 -3.46762489e-01
 -1.71367787e-01 -8.53892733e-01  4.05858768e-01 -3.87225152e-01
  8.67506965e-01  8.45387902e-01  4.60550551e-01 -1.98682705e-01
 -1.79158451e-01 -6.06917365e-02  3.05248064e-01  7.86475417e-01
  4.81966231e-01  5.56938573e-01  9.96719084e-01  6.38125709e-01
  5.71499023e-02 -6.97464000e-01 -3.59299256e-01  7.75153361e-01
  9.36492712e-01 -6.46529835e-01  6.06841627e-01 -6.28642727e-01
  4.40351104e-01  1.22946438e-01  3.38330846e-01 -2.56571809e-02
 -7.88938722e-04  6.33731427e-02 -4.08179086e-01  1.66172359e-01
 -6.83335967e-01 -5.90091731e-01  4.49696971e-02 -4.63329488e-01
  5.23083219e-01  4.83452925e-01  6.95423767e-01 -3.30598093e-01
 -3.34824513e-01 -8.48308846e-01  9.85741787e-01  8.72260164e-01
 -2.05552447e-01  9.55417511e-01  3.70916906e-01 -4.22700604e-01
 -8.15215552e-01  6.55424097e-01 -4.81866292e-01  6.92772729e-01
 -2.46352319e-01  5.34291545e-01  2.05958460e-01 -4.99734718e-01
 -2.26266544e-01 -4.40980480e-01  7.24714508e-01  4.45213831e-01
  6.59243747e-01 -1.45303527e-01  9.91265076e-01 -7.11800022e-01
  2.74686269e-01  6.35522744e-01  1.36524618e-01  9.16218302e-01
 -6.97830535e-01  7.81061285e-01  8.26318348e-01 -5.99154505e-02
  5.42822014e-01 -8.43603116e-01  7.85614826e-01  5.78702077e-01
 -6.67290349e-01  4.98721638e-01 -7.89000706e-01  3.62223734e-01
 -9.62890949e-01  7.93873202e-01 -8.92397292e-01 -4.35564541e-01
 -3.28793931e-02  2.15788323e-01  2.57261409e-01  9.98969562e-01
 -3.25488796e-01 -4.86712147e-01 -7.13141838e-01  1.26562271e-01
  8.76170198e-01 -8.72264506e-01 -2.94488089e-01 -8.81709378e-01
  8.78231630e-01 -2.09448633e-01  9.82104274e-01 -9.47704143e-02
  3.41325331e-01 -1.23523796e-01  5.75507623e-01 -4.09061173e-01
 -9.17653657e-01]"
"(10, 0.5, 0.25, 1, 0.05)",233.0,229.0,237.0,2.8284271247461903,606.86619,575.6449999999999,688.0002000000003,31.64711771104767,"[-8.58511323e-01 -3.82551682e-01  9.75831344e-02 -5.40919374e-01
  1.47049023e-02  3.00810604e-02 -5.44115916e-01  9.19250317e-01
  4.54530173e-01 -8.08613175e-02  8.66203758e-01  2.18760574e-01
  8.72878130e-01  3.41025358e-01  4.99039419e-01  8.17565223e-01
  7.17318709e-01  1.19532946e-01  6.56784540e-01 -9.07477732e-01
  4.39873266e-01  7.41287484e-01  8.34783750e-01  8.89786621e-01
  2.88373453e-01 -9.17941060e-01 -2.04518899e-01  8.27203151e-01
 -6.48439745e-01  3.62752818e-01 -5.07267042e-01  6.15399020e-02
 -1.68778295e-01 -3.82727381e-01  8.56848878e-01 -3.55037544e-01
 -8.64815409e-01 -3.21057075e-01 -8.28813189e-01 -9.39894641e-01
  5.34312067e-01  5.71796063e-02 -3.53103323e-01 -4.98624999e-01
 -2.87870053e-01  1.76152886e-02  7.09760479e-01 -9.26639577e-01
  4.17013057e-02 -1.66306963e-01 -5.51192752e-01 -7.55852700e-01
 -7.46783011e-01 -7.33020052e-01  6.60794975e-01 -3.02196772e-01
 -2.39756663e-01  4.72377781e-01  2.12864635e-03  8.65038833e-01
 -3.76662052e-01 -5.16353939e-01 -2.25672967e-01 -2.84843258e-01
  7.04621961e-01  5.05751746e-01 -4.48316780e-01 -6.23618878e-01
 -5.23757828e-01  8.03727534e-02 -6.17300809e-01  6.76064214e-01
  5.26525867e-01 -4.72398962e-01  4.23488960e-01 -4.73323667e-01
 -5.20208591e-01 -9.64079189e-01  8.79057703e-01  9.65884518e-01
 -6.48986737e-02 -7.82069098e-01  9.58377628e-01 -2.67698959e-01
  7.45618955e-01  7.35756367e-01  5.87849936e-01 -2.30679690e-01
  5.56024945e-01  7.73162464e-01  9.66777246e-01 -6.66624350e-01
  5.72551134e-01 -2.75140849e-01  5.08330670e-01 -6.49806839e-01
 -4.87829367e-01 -2.99009828e-01  4.50912415e-01 -8.13826757e-02
  8.12740950e-01  8.95823548e-01 -4.29948719e-01  9.31089011e-01
  8.67902162e-01  9.30819214e-01  5.96660114e-01 -8.27490424e-01
  4.94602915e-01 -6.48607288e-01 -5.94694367e-01  7.58190374e-01
 -9.48440298e-01 -2.89843620e-02  2.94074837e-01 -1.79218819e-02
 -6.38114084e-01 -9.82144979e-01 -9.32081505e-01 -7.56554529e-01
 -4.16727262e-01  4.28619703e-02  8.02907339e-01 -7.88342572e-01
  8.82478311e-01 -4.63190092e-01  9.74863035e-01 -1.13545709e-01
  2.84412695e-01  1.60347235e-01  5.27163715e-01 -2.82535896e-01
 -5.84089779e-02 -6.98936876e-01 -8.49582299e-04 -3.94828017e-02
  7.67989349e-01 -2.26907602e-01  8.47597162e-01  8.54888085e-01
 -9.78649387e-02]"
"(10, 0.5, 0.25, 1, 0.15)",185.8,174.0,197.0,7.12460525222275,702.7662199999999,671.7571999999999,755.4639999999999,27.54155657045549,"[-0.56609912  0.67745043  0.65505259 -0.33882819  0.46072226 -0.11469522
  0.17674497  0.69886444 -0.07202308 -0.19425505 -0.48754837  0.34499824
 -0.56919068  0.83263357 -0.82087449 -0.38410173 -0.94277885 -0.81189621
 -0.07318799  0.428657   -0.91228144 -0.08069693  0.00531095 -0.61144003
  0.40941063 -0.73868467  0.57140091  0.54144079 -0.49257332  0.07939629
  0.02519942  0.72973559  0.6534645   0.75332143 -0.09878374 -0.2326379
  0.90699715 -0.36760463  0.67836538 -0.61320502 -0.66684783 -0.2614573
 -0.89277187  0.90077281 -0.45671396  0.48239812  0.39731653 -0.57268672
  0.68533668  0.75996961  0.11570707 -0.33373656  0.43936976  0.85883994
 -0.42069699 -0.74763663 -0.27672331 -0.42254843 -0.39650438  0.08335411
 -0.19029381 -0.20011346  0.10412726 -0.16617014  0.53764608  0.43529787
  0.86069889  0.53344763 -0.32842686 -0.77223927 -0.12981972 -0.31930359
  0.60712524  0.95999158 -0.98815566  0.63467609  0.74011838 -0.683876
  0.07433811  0.06254494 -0.00301902  0.09826325 -0.98043686  0.94495011
 -0.79421561 -0.98593968 -0.99338321  0.30492194  0.26827525 -0.35860672
 -0.73811423  0.02489047 -0.88748321  0.0777588   0.12425155  0.53066978
 -0.52520485  0.52460072  0.94061974  0.05242954 -0.00174798 -0.10863026
  0.98522307 -0.39910496  0.42933958 -0.24531045  0.84395777 -0.08258084
 -0.11267712  0.39768575  0.592761    0.13892841 -0.91136706 -0.05232067
  0.09478025  0.79998748 -0.3029914  -0.19077172 -0.55004336  0.1357167
 -0.18232927  0.58151588  0.68260734  0.62734403 -0.45138476  0.0060329
  0.77233701 -0.7820101   0.7679786  -0.88109978 -0.01408613 -0.94997308
  0.63974428 -0.80910808 -0.79890945 -0.55019629  0.3444344   0.0389563
 -0.96045253 -0.77785492 -0.70937525]"
