Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0.5, 0.5, 0.05)",134.9,131.0,139.0,2.5475478405713994,9913.399500000001,9253.698599999998,10675.129800000004,375.7435538421639,"[-0.96574519  0.30315142 -0.9419745  -0.20064514 -0.43880881 -0.83959476
 -0.34713328 -0.16140739 -0.93885095  0.97956443  0.67567912  0.42530032
 -0.89928798  0.85681092 -0.86675235  0.90551085 -0.80194108 -0.1253146
  0.52468295 -0.38688199 -0.66153768 -0.28854712 -0.98503074  0.01062099
  0.43900543  0.32857733  0.95214805  0.0419566   0.02902486  0.28315421
  0.62048218  0.6289655   0.32330505  0.48538231  0.53723819 -0.50863332
 -0.71735446 -0.43312928 -0.05826266 -0.69112984  0.39431839  0.68255328
  0.24935794  0.8451213   0.73879064  0.53498746 -0.56063305  0.63647752
  0.5176116   0.40432581 -0.54920889 -0.08136211 -0.78417614 -0.33084306
 -0.41342826  0.68110103 -0.31214407 -0.8740664   0.43302195 -0.2062265
  0.92241097  0.38603256 -0.68713328  0.24958631 -0.88947013 -0.35915535
  0.69424888  0.59077464 -0.07782062  0.96241146 -0.63832936  0.8290357
  0.85563915  0.70464795  0.72541512  0.17124582  0.50093643 -0.0563465
 -0.20725179  0.97492135  0.00990086 -0.52032968 -0.83740858  0.22838515
 -0.60805743 -0.35887878  0.36725258 -0.86416624  0.73133785  0.7890288
  0.05008489  0.39156386  0.52985441 -0.87633473 -0.47635461  0.74626864
  0.82152848 -0.75662875  0.7906507   0.94634484  0.9113671   0.73229292
 -0.14854476 -0.15747293  0.25376409 -0.21490862  0.19924229 -0.68833442
 -0.17704627  0.00950575  0.74816183 -0.88208088  0.69306793 -0.39056301
  0.52007068 -0.40520996 -0.78427711  0.10976345 -0.66326878 -0.13690306
  0.91620554  0.40187127  0.84495199 -0.12623256  0.70372802  0.87680855
  0.99865485  0.20286828 -0.82036752  0.37444518  0.03542011  0.49402084
 -0.90016679  0.12832402 -0.65275476 -0.74126295  0.78307391  0.67971788
  0.84843373 -0.18716213  0.24551206]"
"(10, 0.25, 0.5, 0.5, 0.15)",134.6,128.0,140.0,2.973213749463701,9588.883339999998,9000.277199999999,10156.761799999997,349.8696540249271,"[ 0.1923369   0.9478109   0.22482005  0.05874226 -0.9742081   0.29907255
  0.53970863  0.22017217  0.33158952 -0.22760123 -0.28083548 -0.5851843
  0.08232084 -0.01286885  0.66514784 -0.86875299 -0.25929015 -0.17654479
  0.69287035 -0.54127989 -0.42728786  0.58492018  0.00795408 -0.40237261
 -0.12338971 -0.65821528 -0.06247348 -0.42847093 -0.31453662  0.1058564
  0.17526742 -0.14149494  0.69632147 -0.71324303  0.32099979  0.6743304
  0.21139117  0.5187866  -0.1158     -0.02770741  0.98000455  0.95300319
  0.20883182 -0.11323022  0.13516444 -0.45920138  0.0364525  -0.54028479
  0.8176802   0.05688185  0.31893447 -0.36021721 -0.4147958  -0.48093501
  0.85909366  0.03846501  0.76202297  0.25791336  0.36788329  0.70458948
 -0.90827225  0.35969459 -0.41937032 -0.62470874 -0.92050059  0.79095319
  0.02810949  0.39413925  0.81333367 -0.9978224  -0.29572006  0.89529192
  0.31520724 -0.77562511 -0.79795448  0.86102781  0.44881574  0.9243133
 -0.56652214 -0.31345762  0.56185314  0.94047195 -0.63284906 -0.65976573
  0.97145505  0.69767015 -0.3581268   0.80589855 -0.55758159 -0.82392905
  0.96106874  0.95065069  0.15678916 -0.97814223  0.7452484   0.74080771
 -0.08331605  0.13322601  0.55920325 -0.69604558 -0.35710001 -0.49505131
 -0.05507578 -0.16305281  0.90820973  0.92123782  0.13199131 -0.20450089
 -0.78315254 -0.20233364 -0.37295025 -0.92682766 -0.94836814 -0.80579735
 -0.94200854  0.72958198  0.64799025 -0.84539279 -0.47710591  0.24427845
 -0.3960348   0.96318428 -0.58235539  0.02985088  0.3159683   0.65209447
  0.3940788   0.848857    0.58864255  0.6208904   0.28199107  0.90270129
  0.41608838  0.5477746   0.72561251 -0.81960856 -0.49100808 -0.60657339
 -0.41437448  0.639345   -0.83346886]"
"(10, 0.25, 0.5, 1, 0.05)",223.4,217.0,229.0,4.127953488110059,2295.25361,1902.2855000000002,2952.788600000001,362.2144836174738,"[ 0.94378286 -0.61105946  0.33034996 -0.98555848 -0.25308719  0.27967185
 -0.81691672  0.38503507 -0.43290727 -0.91717943 -0.32213368  0.1812451
 -0.36488008  0.6334323  -0.61709106  0.6598475  -0.72855596  0.45180457
  0.33913526 -0.80469546  0.42261033  0.07486701  0.72167476 -0.03856887
 -0.67168052 -0.2297647  -0.71842164 -0.55105279 -0.52002352  0.87503686
  0.15149145  0.12441324  0.0935731   0.73176603 -0.34175245 -0.59335036
 -0.63676173  0.43679183  0.50719369 -0.61689404 -0.71134205 -0.905638
  0.82735475 -0.12968242 -0.8420344  -0.99150574 -0.55081183  0.34572557
  0.32215822  0.08347236  0.7336409   0.33254505  0.40043583  0.39134888
 -0.36193023 -0.18140749  0.73085598 -0.39211733  0.64851009 -0.52016287
 -0.46293215  0.37181828  0.36963323  0.30201052 -0.9723517   0.632712
  0.96731943  0.1159452   0.16446965  0.92822526 -0.59170966  0.89703394
 -0.6988097   0.87580972 -0.49762534  0.68928819 -0.09797432 -0.10404898
  0.60947551 -0.63401352  0.16856632 -0.00207681  0.454256   -0.51679258
 -0.17091032 -0.16767479  0.36544922 -0.0036134   0.49978897  0.73721975
 -0.38602167 -0.02038794 -0.83821016 -0.30342986 -0.37576506  0.37477285
  0.64834058 -0.91876936 -0.95705459 -0.0112108   0.54620832  0.33024534
 -0.81102994 -0.61012824 -0.34829278 -0.75158036 -0.98937962  0.26569196
  0.0455053   0.19854882 -0.95994822  0.31374425  0.0503825  -0.56669987
 -0.09464561 -0.71937423 -0.92917945 -0.69353202  0.17700106  0.71705424
 -0.66182779 -0.96397249 -0.1972022  -0.4283612  -0.39113841  0.94769633
  0.79233049  0.20801711  0.99642691 -0.06108893  0.89566507 -0.82694143
 -0.02502596  0.35610337 -0.68015989  0.92999204  0.64336253 -0.8361565
 -0.3984047  -0.66658464 -0.81846113]"
"(10, 0.25, 0.5, 1, 0.15)",228.4,220.0,237.0,4.2708313008125245,1710.74539,1576.4109,1892.1313000000005,84.91095269376572,"[-0.71701093  0.14495012 -0.1325477   0.07698444 -0.89122946 -0.81141886
  0.39741826 -0.36303824  0.25993325  0.35976266 -0.61514007  0.0131929
  0.59416632 -0.43181182 -0.53124466 -0.50638771  0.16251977 -0.05084152
  0.5968794   0.56202189  0.91432667 -0.26856259 -0.6464939   0.49212364
 -0.23911289 -0.14053335  0.71500606  0.32297478 -0.58801582  0.02390133
  0.68236256  0.179296    0.92071266 -0.83293906 -0.73115712  0.12785853
 -0.75337579 -0.09823122 -0.74830824  0.81628807 -0.25703593 -0.54525653
  0.52326883  0.64765515  0.28734177 -0.39144874 -0.80378875  0.40117142
 -0.89969368  0.14083915 -0.49497923  0.39029361  0.49645297 -0.35992024
  0.31241465  0.90131702  0.64931876 -0.34566749  0.51340443  0.51170364
 -0.91871746 -0.73989248 -0.50971537 -0.62826441  0.73799288 -0.20240599
  0.22980018  0.32860211  0.13492385  0.75993257  0.27053079 -0.14712679
  0.90136836 -0.23127288  0.43537645 -0.80985627  0.37929157  0.01881352
  0.00654742 -0.25151299 -0.63401265 -0.36579928  0.37579543 -0.25352825
  0.81703408 -0.02089175 -0.00357132  0.25964246  0.39605954  0.31416092
  0.25923042 -0.03813538  0.47021241  0.76686331  0.1959817   0.90970652
 -0.96645721 -0.14851599  0.02846233  0.91030776  0.25943819 -0.23728132
 -0.10277048 -0.48415805 -0.90072241 -0.438695   -0.73377987 -0.73463109
  0.58953196 -0.30592322 -0.04186155  0.93665816 -0.47366346 -0.79300002
 -0.58890814  0.70437216 -0.95624037  0.90300282 -0.78522812  0.00692914
  0.29160115  0.35995118  0.96585397 -0.52691898  0.4546739   0.51867506
  0.25176235 -0.22467731  0.56168855  0.94947951  0.83035447  0.39210562
 -0.88957382  0.94294381  0.69105781 -0.46156349  0.89150019 -0.9870761
  0.69364267  0.77009718 -0.32878072]"
"(10, 0.25, 0.5, 2, 0.05)",249.3,242.0,258.0,4.670117771534247,943.3614099999999,825.3234000000002,1180.1429,88.07403750451603,"[ 0.1410711  -0.73576929 -0.84909834  0.63824898 -0.80158233 -0.76253957
 -0.77073527  0.77675109  0.4045251   0.08196392  0.79767897  0.12480727
  0.34464292  0.65721633 -0.03273541 -0.32399469  0.17867889  0.36527372
 -0.25754169  0.05299151  0.91379416 -0.42432267  0.20480649 -0.57227094
  0.0736018  -0.11373188  0.20918789  0.94953334 -0.89572378 -0.68399657
  0.87040731  0.08833152  0.39449711 -0.7824413   0.14556577  0.40020485
 -0.69028811 -0.0353946  -0.46364361  0.08688141  0.02519686 -0.6054543
  0.37814362  0.4793078  -0.24492299  0.76904194  0.97481003  0.39088077
 -0.28402785 -0.96277958 -0.51637186 -0.26498791  0.63722651  0.93286579
 -0.08007208 -0.97410749 -0.98366569  0.10167099 -0.45358336  0.19157543
  0.96697201 -0.81771673  0.37932678  0.88080068 -0.35433366  0.94791474
 -0.30921414  0.35386377 -0.93565075  0.78998516  0.98397402  0.13951437
  0.90886284  0.24500859  0.61468729 -0.71324516 -0.35428844 -0.66150958
 -0.23065876 -0.75617943  0.37516148 -0.58504468 -0.75789065  0.09140127
  0.20602197  0.89039933  0.21814089  0.71167571 -0.64015796 -0.98024791
  0.35362944 -0.31352797  0.77682957 -0.16014041  0.39186009  0.00742038
 -0.8298691   0.52627485 -0.01319043 -0.46910882  0.66194327  0.84113785
 -0.23742725  0.11942879 -0.48522131  0.26003136  0.17583405 -0.14898209
  0.2768661   0.10417384  0.269871   -0.83677463 -0.97401151 -0.14815625
  0.63260316 -0.16408617  0.40538686 -0.45859677  0.39490279 -0.75675135
  0.77548393 -0.68409092 -0.23154139 -0.68008673 -0.91649679  0.97989993
 -0.2251187   0.3083381   0.12221205 -0.27000429 -0.55093967  0.72002715
  0.79401528  0.08804473  0.18924076 -0.21497095  0.83330179  0.5585335
 -0.45304984  0.58875189 -0.4103816 ]"
"(10, 0.25, 0.5, 2, 0.15)",237.2,229.0,242.0,3.627671429443411,4413.053409999999,3778.3377000000005,4827.1428,297.58606527491276,"[ 0.81140797  0.41487952  0.2484947  -0.0091632  -0.01766215 -0.48407619
  0.21239692  0.53838943 -0.10856845  0.58573058  0.89282452 -0.36770586
 -0.19934061  0.70871846 -0.11834508 -0.96039093  0.038244   -0.36713509
 -0.54992731 -0.57437951  0.55398205 -0.60124007  0.96210964 -0.56606095
  0.14663301 -0.86356408  0.40131431  0.02140522  0.08920409 -0.70518488
  0.77241632 -0.82447012  0.54760791  0.05615842 -0.97889653  0.39516725
  0.12311199 -0.60535148  0.68403256 -0.44183136 -0.63101648  0.14762284
  0.38074565  0.69509165 -0.4661465   0.1348271  -0.19518936  0.56954118
  0.86732792  0.96644184  0.95549307  0.51982193  0.55431994  0.40410224
  0.87839583  0.17514399 -0.84919783 -0.98982998 -0.64721613  0.09592127
  0.74861691 -0.14065497  0.2839645  -0.48123942  0.51139079 -0.76442406
  0.98052544 -0.686575    0.91648756 -0.25398077  0.80378021  0.53226335
  0.03607592 -0.74128787  0.8881294  -0.52354561 -0.07687862 -0.22831756
 -0.94519938  0.19347371  0.99664563  0.61694199  0.50728472 -0.17291894
 -0.37802489  0.28353218  0.96451011 -0.13081913  0.82586486  0.65200109
  0.03459354 -0.63501596 -0.99010356  0.21404522  0.03237719  0.26615079
  0.09118887  0.59705409 -0.23842752 -0.05876156  0.75958915 -0.65735619
 -0.53501675 -0.92320919  0.73358245  0.51120369  0.43842311 -0.65596466
 -0.99780343 -0.88841242 -0.27107373  0.77228589 -0.61218606 -0.86361497
  0.02237562 -0.91484675  0.64282085  0.00156849 -0.90766465  0.5226927
  0.71267005 -0.836253    0.32703429  0.89345151 -0.45139469  0.95875357
  0.71046151 -0.67536565  0.54541369 -0.92402753 -0.0851761  -0.63522947
  0.30651131  0.78039247 -0.55320342  0.74092012  0.31694885 -0.25642806
  0.94350405  0.64053854 -0.14519389]"
"(10, 0.5, 0.25, 0.5, 0.05)",181.1,177.0,184.0,2.4269322199023193,9828.5802,9423.539599999998,10271.394600000001,225.30956592004745,"[-0.62971692  0.64882641  0.87852861 -0.66427347  0.17918427 -0.69325545
 -0.32427289 -0.773798   -0.15861597 -0.76671188  0.58816548 -0.90072477
  0.79667974 -0.80500783  0.0266864  -0.09155249 -0.47406795 -0.063181
  0.14273557  0.59992271  0.00675924  0.05814092  0.00954678  0.690386
  0.57725008  0.0467661   0.09018279  0.69338418  0.96252474  0.59255227
 -0.32438253  0.2245901  -0.35237802  0.00915227 -0.06950379 -0.12652791
  0.24260132 -0.45766969 -0.40557964 -0.42569387 -0.10420773  0.20921067
 -0.01855745 -0.03457841  0.00377959 -0.50284795  0.33196025  0.48445211
  0.46846817  0.84218054 -0.32837859 -0.94354573 -0.9330681   0.78413013
 -0.39884633 -0.52718381  0.27125169 -0.04574102 -0.28926923 -0.22586794
 -0.79466415 -0.65078351 -0.40597746 -0.88896298 -0.81293116  0.96325592
 -0.78752432  0.06916252  0.59208405  0.3813834   0.07673121 -0.64889991
  0.41137356  0.4305888   0.32882774  0.60956184  0.35337929 -0.96404729
 -0.3764455  -0.69227854  0.93184431 -0.45993726  0.12893262  0.75518227
  0.4258792  -0.24666619  0.51539589 -0.96148348  0.13192288 -0.78744028
  0.59777749 -0.37299393 -0.81702891  0.70681608  0.42363037  0.89707841
  0.19091807  0.5363651  -0.01550946  0.47587224 -0.67584703 -0.10275206
 -0.07393043  0.87149633  0.92755446  0.51138551 -0.24106537  0.8289011
 -0.07704499  0.38668638 -0.79153299 -0.24792316 -0.60779085 -0.5411053
 -0.07678971 -0.6501845  -0.88817298 -0.76533773 -0.98271131 -0.66913664
 -0.33052282 -0.52299359  0.37345951 -0.35046118  0.74679718  0.9945128
  0.71311315  0.25226464 -0.69655269 -0.19387867  0.41254668 -0.98222791
  0.81466317  0.17738843  0.80980659 -0.07331706  0.92785107  0.85735445
  0.49933336 -0.26912807  0.01935359]"
"(10, 0.5, 0.25, 0.5, 0.15)",155.8,150.0,162.0,3.8935844667863564,8545.735550000001,7627.728599999998,9172.587300000001,480.86754242996426,"[ 0.26957645  0.33720874  0.342057    0.17928989  0.67282403  0.48523759
  0.60945443  0.3469189  -0.27380331 -0.24480101 -0.87824491 -0.94362326
 -0.15009046 -0.94593384  0.11258991 -0.84119443 -0.45088795 -0.79715633
  0.68032353 -0.2062859  -0.74953139  0.73715213 -0.60020686  0.92421572
 -0.99233608 -0.82924123  0.39096975 -0.98185625  0.25348024  0.44591423
  0.57548769  0.99906319 -0.62813982  0.68908101 -0.32936592 -0.6515655
 -0.04605674 -0.86295383  0.44151155  0.60847403 -0.56660395 -0.26346028
  0.04918105 -0.30011097  0.29907819  0.2840045  -0.2315977   0.97934962
 -0.8386669  -0.20687085  0.84019725  0.81874996  0.35224313  0.57918384
 -0.80440803 -0.22654762  0.57148299 -0.36497422 -0.23419707  0.94469849
  0.81764572  0.19483229  0.90410642 -0.65769279 -0.39004794  0.27065783
  0.01554456 -0.59820921  0.80214892 -0.93213253 -0.72788279 -0.73113132
  0.54551134 -0.33387292  0.17837931 -0.08686001 -0.39175413  0.11482024
 -0.76715815  0.47888964  0.07594909  0.23213487  0.8610387   0.51965197
 -0.21425352 -0.37958038  0.40787904 -0.82866842  0.25986175 -0.28795463
 -0.78079163  0.67054012  0.60719706  0.71463568  0.33906884  0.32806068
 -0.73811443 -0.22153679  0.90217152 -0.77815661 -0.75239498  0.56687085
 -0.28116887  0.19147372 -0.62223741 -0.43258536 -0.40923237  0.61689468
  0.01418256 -0.85360916 -0.35707476 -0.99112615 -0.86307323  0.69837786
 -0.30511545  0.47058066 -0.03588977 -0.46607248 -0.73387121 -0.39159846
 -0.1347388   0.85374238  0.56408277  0.84881421 -0.69370414  0.18976245
  0.14712005 -0.28187935 -0.84210045  0.95644578 -0.14422361  0.84563773
  0.31624817  0.04197193  0.61085656  0.25404033  0.01990567 -0.71438428
  0.61630143  0.38492813  0.06115683]"
"(10, 0.5, 0.25, 1, 0.05)",261.7,257.0,270.0,3.579106033634656,1237.4012599999999,1023.4146999999998,1596.6890000000012,160.483183989895,"[ 4.94915578e-02 -8.85070630e-01  9.14991797e-02 -8.40822315e-01
 -3.06797925e-01  1.09333471e-01 -5.03918543e-01 -1.26587219e-01
 -1.23606104e-02  1.56559280e-01  5.62798198e-01  8.05429825e-01
 -3.36807704e-01  4.57250775e-02  8.45648835e-01  8.92332974e-01
  8.92915202e-01  7.97716292e-01  1.28230503e-01 -2.65252010e-01
 -1.59666421e-01  6.27378664e-02 -1.68268074e-01 -8.47013965e-01
  4.08700202e-01  2.54469287e-01  4.93151172e-01  7.78125572e-01
 -6.20281631e-01  1.07521195e-01 -7.54011226e-01 -4.05782486e-02
 -2.31721363e-01  9.69802914e-01  1.51169894e-01  5.69783282e-01
  3.98136842e-01  7.62654682e-01  1.78643988e-01  5.12504497e-01
 -6.99083374e-01 -8.55534241e-01 -8.78066776e-01 -3.53298694e-01
  8.42684678e-01  8.12027831e-02 -6.70086695e-01  9.37990517e-01
  9.98579377e-01  9.67441420e-01  2.04333573e-01 -2.48913518e-01
 -1.13379975e-01 -3.72518029e-01  1.08954789e-01 -7.68727225e-04
 -1.45228220e-01  7.33658616e-01  9.65519834e-01  9.01486735e-01
  1.63311245e-01 -1.53857496e-02  1.12948111e-01  6.97874260e-01
  6.51980782e-01 -1.90939178e-01 -9.85827284e-01 -5.58259962e-01
 -7.13271373e-01 -4.90393678e-01 -1.28663508e-01  8.58522948e-01
 -1.13961659e-01  2.68644158e-01 -6.99721476e-01  2.58259455e-01
 -1.77604883e-01 -7.75199909e-01 -3.97948106e-01  9.44187079e-01
 -9.23205448e-01  8.06406179e-02  9.99565690e-01 -8.98675994e-01
 -7.83089941e-01  7.71781888e-01  2.61756381e-01  7.81732222e-01
 -7.13710295e-01 -5.63533039e-01  9.67951906e-01  3.12538137e-01
  3.24007599e-01  8.78032548e-01  7.18350902e-01 -7.38659049e-01
  9.52099061e-01  9.61708996e-01 -3.13838408e-01 -3.44446953e-01
  1.71987165e-01  8.04029396e-01 -7.81690043e-01  8.52429112e-01
 -9.80162362e-02 -5.07632359e-01  7.80729646e-02  3.24058583e-01
  2.67434288e-01  1.19037466e-01 -5.99459104e-01 -7.31072934e-01
  9.91451870e-01 -5.80798572e-01 -9.21325086e-01  2.24255506e-01
  8.57986564e-01 -4.57138782e-01 -8.07151849e-01 -2.34933016e-01
  2.51683772e-01 -4.52901467e-01 -2.04353771e-01  5.63830932e-02
  3.97371625e-01 -5.64125754e-01 -5.90041413e-02  9.56439697e-01
  5.35567746e-01 -8.91929151e-01  2.52886229e-01  5.01578342e-01
  4.17878565e-01 -7.72143842e-01  7.53177460e-01 -5.49082146e-03
  6.94844356e-02  4.09094349e-01  3.73424183e-01  5.16583846e-01
 -9.77741277e-01]"
"(10, 0.5, 0.25, 1, 0.15)",230.6,225.0,236.0,3.4698703145794947,1869.68208,1351.0374999999997,2902.5272,416.0733773465416,"[ 0.79237493  0.25242477 -0.80820516 -0.59093456 -0.22969044 -0.99079684
  0.05272594 -0.79207627 -0.52203261 -0.90848349  0.55009925  0.03913189
 -0.34970807  0.26550895  0.71971138  0.62095587 -0.79486812  0.53801756
 -0.15539177  0.25242296 -0.31996118 -0.02393038  0.70758882 -0.56776485
  0.79062175  0.28922029  0.71732961 -0.53821088 -0.60895929 -0.85592023
  0.26292655  0.72069151 -0.80747239  0.68345149 -0.81517363  0.78316758
 -0.65033385  0.90586052 -0.89068467  0.61227185 -0.14915915 -0.45052342
  0.17091722 -0.91184652 -0.24424634  0.16647294  0.47004166  0.06998252
 -0.89830051  0.3765077   0.10725971 -0.2258615  -0.37747302  0.19613569
  0.20335867 -0.81519477 -0.09115983  0.45323919  0.98053013  0.51505818
 -0.77900015  0.00643979 -0.10298783 -0.08701333  0.16129495 -0.54400038
  0.25629381  0.40194007 -0.39921836 -0.77072088  0.69609854 -0.83560096
  0.83346792  0.53767061  0.76328683  0.3180637   0.70614114  0.78736596
  0.22449422 -0.34565856 -0.86393485 -0.08921317 -0.59245987  0.86465483
 -0.20086401  0.2688778  -0.66826488 -0.04485397  0.99482568 -0.5145863
 -0.207785    0.39396149  0.70726815 -0.63836934  0.40066812  0.09675869
  0.71569968 -0.48477571  0.97747361  0.03441433 -0.18117668  0.3917252
 -0.02887084  0.89738492  0.8819105   0.09806428  0.94711748 -0.24603344
  0.04844905  0.24547333  0.71762945 -0.09890251  0.42842628 -0.73475622
 -0.88236061 -0.13039516 -0.89982269 -0.66459518  0.48513623 -0.80690574
 -0.88582707 -0.53039552 -0.96061837  0.9291128  -0.21372981 -0.03490859
  0.74909589 -0.39758842  0.98466035 -0.87277039 -0.31806698  0.66202708
  0.69434676  0.91719077  0.69579113 -0.48432747  0.87793406  0.95266455
 -0.86963441  0.32653217 -0.46916912]"
