Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0.5, 0.5, 0.05)",28.9,21.0,37.0,5.028916384272064,103247.19526000001,86145.75339999999,124589.97920000003,12260.704401678777,"[ 59  48  73  20   7  31  15  26  16  23  16  12   6   5  20   7   8  36
  25   5  59   5  28  44  50  28  10   8  29  66   0   0   3   3  16   4
   8  11  32  24  34  35   9  42  92  15  68   6  47  81  68  37   6   5
  34  34  63  28  76  97  33  86  70  43  66   0  62 100  43  16  94  15
  96  30  20  60  38  54  80  66  66  33  11  65  68  18  91  94  55  42
  36  17  94  44 100  12  26  52  15  31  68]"
"(10, 0.25, 0.5, 0.5, 0.15)",15.8,13.0,18.0,1.5362291495737217,187127.69945000001,164196.21710000004,223223.71120000005,17484.164843878338,"[74 65 34 68  0 15 16 53 35  7 33  6 44 29 31 28 11 26 19 19 29 10 24  0
 26 21 43 42 31 72 16 40 35  0 62  3 32 49 84 19 42 55 10 61 17 23 28 11
 91 89 40 30  8 12 73 70 28 81 65 66 83 14 44 73 29 43 51 46 32 18 45 29
 16 81 24 31 80 33 58 20  1 33 78 91 49 53 50 83  9 73  1 18 43 81 42 49
 88 19  0 84 22]"
"(10, 0.25, 0.5, 1, 0.05)",28.5,25.0,40.0,4.05585995813465,41752.86108,38004.7618,48737.59929999999,3418.698268740549,"[85 19 79 23 15 16 17  9 18 11 12 12 13 15  1  9  8  6  9 20 19 24 13  6
  9 18  5 23 12 24 10 29 14 55 16 38  3 19 10 10 30  7 57  2 14 12 24 31
 38 71 21 18  8 58 45 66 90 14 82 51 56 11 20 55  0 23 87 44 51 27 49 50
  8 13 38 47 68 98 12 55 64 47 61 11 54 60 37  8  4 75 33 78 98  5 23 84
 95 70 35 52 43]"
"(10, 0.25, 0.5, 1, 0.15)",36.8,28.0,44.0,4.791659420284375,31794.234799999995,25944.636599999998,36776.75479999999,3223.435290191466,"[ 95  81  19  10  12   3   7   8   7   3   4   7   1  23   1  16  21   2
  26   5  12   1  22  26  11  20   6  12  17  34   8  10  11  33  40  47
  46  30   0  39  15   8  15  27  57   1   7   4  72  36  35  65  54  36
  27  64   1  88  86  58  84  60  11   8  13  31  76 100  98  30  22  80
  56   9  79 100  62  54  70  30  91  46  36  82  26  82  78  43  65  68
  34  17  95   1  14  65  16  89  37  91  56]"
"(10, 0.25, 0.5, 2, 0.05)",20.7,12.0,28.0,4.495553358597805,218608.02665999997,182888.75639999998,268497.76800000004,24388.59714857664,"[36 50 77 19 45 33 30 92 12 11 40 25 46 21 26 22 46 61 17 17  3  9 35 84
 10  7 30 33 41 63 41 73 20  4 60  5 80 25 37 56 23 70 49  6 27 19 14 46
 13 74 35 42 21 55 26 28 33 85  1 27 95 42 77 89 17 90 21 22 63 99  8 70
 58 39 57 83 37 15 42 13 63 60 45 17 87 15 71 89 99 64 73 41 34 72 39 55
 74 78 26 70 68]"
"(10, 0.25, 0.5, 2, 0.15)",24.9,20.0,29.0,2.467792535850613,230100.44603,206080.67250000002,243936.66179999994,10931.954757482736,"[31 89 70 42 65 89 53 23 45 45 69  3 25 41 15 41 35 35 33  0  7 13 39  6
 51 13 55 43  5 21 41 10  5  1 30 31 27  9 13 49  0 73 16 31 66 42 30 29
 40 48 87  0  2 28 94 57 35 39 50 21 31 14 63 15 74 25 48 37 69 30 88 72
 33 17 19 55 63 19 19 17 88 46 39 49 26 95 75 70 40 32 56 23 64 51  4 94
 11 15 28 26 19]"
"(10, 0.5, 0.25, 0.5, 0.05)",23.0,16.0,33.0,5.176871642217914,120317.98299,104162.71490000002,135349.9801,8411.416630684507,"[ 9 16 29 14  2 20  7 23 41 13  9 32  0 14 26 22 20  0 31  4 19 94  9 49
 16  9 41 20  1 21 29 24 40 60 35 22 19 39 12 19  7 13 47 52  6 16  0 69
 29  0 88 41 91 52 84 55 91 84 86 47 25 44 41 17 19 29 21 44 28  5 24 30
 98 17 20  5 58 85 33 22 14 71 55 92 38 25  6 57 35 89 23 67 56 40 99  1
 94 21  4 53 25]"
"(10, 0.5, 0.25, 0.5, 0.15)",29.0,20.0,35.0,3.872983346207417,118307.20842,102859.24129999998,132685.4312,9500.941145576924,"[ 4 83  5 14 31 37 33 27 13 23  8 18 13 16 20  5  4 30  3  8 48 32 10 16
 40  5 17 44  8 57 46 10 36 21 38 23 68 57  8 16 36 68 50 28 29 53 10 35
 66 53 90 25 37 46  4 56  3 65 50 61 45  3  8 94 78 37  7 35 94 22 34 67
 88 48 17  5 32 16 10 27 87 42 32 38 83 35 42 84 72 50 81 31 74 36 52 45
 15  8  4 71 50]"
"(10, 0.5, 0.25, 1, 0.05)",105.7,97.0,117.0,6.841783393238929,16758.478369999997,15285.420900000003,18845.7549,1220.5495316939819,"[11  8  1  5 17  1  3  8 10  5  1 20  6 16  9 13 18  9 23 30  9  5  4 25
  0 20  7  9 22  2 21 36  1 10 19  8  7 13 20 13 12 44 10 12  2 28 23 31
 37 52 15 50 79  9  4 62  4 42 64 46 31 90 55  1 59 96 82 74 51  6 54 95
 56 98 55 21 22 84 79 21  2 40 65 53 19 10 79 21  7 82 93 19 96 10 15 14
 46 17 14 44 41]"
"(10, 0.5, 0.25, 1, 0.15)",36.6,30.0,45.0,4.521061822182927,35013.441699999996,32706.653799999996,37229.621,1175.6827325629129,"[65 90  8 12 16 19 17  8  9 19 10  9 11 10 22 10  7  5 12 13  9 18 21  7
  2 14 12  7  6  5 19  7 19 11 11 28 34 26 30 19 11 24 26 24 19 29  6 36
 48  6 23  7 64 16 54 23 26 74 58 53 11 88 42 17 89 25 46 68 78 96 49  4
 66 49 82 69 38 44 49 39 93 73 51 48 56 31 70 68 71 28  9 51  2 82 55 28
  7 24 98 75 94]"
