Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0.5, 0.5, 0.05)",49.2,39.0,55.0,4.237924020083418,475101.35578999994,423550.25260000007,521453.897,26714.77030660157,"[ 84  89  73  10  89  88   7   2  91  76  35  65  82  68   4  13  20  72
  11   9   4  39   8  57  11 100  36  22  22  77  30  83  99   7  35  29
  10  31  36  76  26  94  21  21  13  40  38  62  96  29  21  34  47  24
  46  86  36  93  14  29  24  96  85  76  70   0  26  82  21  45  57  18
  38  38  51  49  64  91  99  86  40   0  71  51  15   1  59  20  81  50
  34  44  24  13  63  51  23  68  37  19  63]"
"(10, 0.25, 0.5, 0.5, 0.15)",49.5,37.0,62.0,7.214568594171102,500183.62111,437244.9738999999,549440.6237,29700.426506770516,"[ 42  79  77  97  35  22   1  34  65  56  91 100   4  36  76  83  46   6
  15  23  31   0   6   9  14  43  45  86  74  14   1  37  13   8  15  62
  65  87  39   2  28  78   8  76  82  33  10  33  80  81  41  67  12  25
  90  90  60  53  22  42  57  51  60  80  71  97  85   6  37  72  11   9
  48  98  38  54  31 100  70  35  49 100  56  34  48  48  52  34  65   7
  89  85  84  28  66  14  96  20  29  41  88]"
"(10, 0.25, 0.5, 1, 0.05)",57.7,51.0,64.0,4.075536774462966,514843.66009,452466.6244,557785.2974,29238.264031988547,"[44 96 34  4 68 23 77 72 78 22 32  6 39 91 84 14  6  4 67  1 56 91 13 10
  8 84 19 55 13 89 90 22 45 22 24 33 17 82 18 25 38 61 24 66 45 26 99 50
 56 18 16 46 76 35 82 73 37 11 31 31 25 71 10  3 23 35 31 41 79 11  2 74
 10 42 44 94 72 50  6 99  6 81 16 27 37 36 95 86 93  5 90 91  1 59 45 77
 76 14 53 99 29]"
"(10, 0.25, 0.5, 1, 0.15)",49.7,39.0,61.0,7.043436661176133,549315.45578,513138.58869999996,622928.6557000001,33397.557970692455,"[ 93  67  94  79  15  55  74 100  74  14  42  41   5   4  37  37  33  69
  45  87  96   8  73   1  89  76   0  13  11  40  18  55  81   3  24  73
  23  78  38  17  31  11  92  55  35  88  88  20  64  92   9  50  40  12
   8  22  24  24  27  62  20  18  54  73  91  44  39  32  78  55  99   6
  48  62  87  30  47  31  42  17  10  72   5  73  61  26  22   0  40  36
  66  33  11  80  12  73  79  19  22  94  77]"
"(10, 0.25, 0.5, 2, 0.05)",87.1,81.0,94.0,4.968903299521937,600699.4879000001,534506.7796,650086.2805,35668.91568969702,"[46 43 46 74 65 93 63 82 89 57 81  5 84 91  2  4 15 73 95  8  5  6 37 11
 90 16 71 12 12 54 30 94 11 12 30 98 18 40 15 78 18 63 50 59 35 14  6  2
 67 29 90 55 60 67 17 61 30 55 47 93 88 48 63 28 93 45  2 47  7  7 63 89
 69 61 40 25 18 98 81 75 46 70 43  4 82 48 75 42  3  2 44 90 30 70 17 48
 40 47 34 41 79]"
"(10, 0.25, 0.5, 2, 0.15)",113.1,97.0,123.0,7.2034713853808015,235876.90127000003,184459.3232,282622.81529999996,33084.72206755107,"[  4 100  26  54   2  24   2   2   4  77  10   4   4   4  23   3  27   3
  78  64   6  93   6   2  18  11  12  46  12   7   4  27  20   3  53  10
  49  82  65  57  16  99  29  12  49  64  24  20  31  14  26  12  15  21
  14  91  81  81  97   3 100  13  69  62  88  54   8   0  78 100  10  67
  92  79  52  65  33  49  36  71  25  76  15  47  46  55   8   3  68  38
  59  48  40  41  29  51  30  27   4  69  98]"
"(10, 0.5, 0.25, 0.5, 0.05)",63.6,56.0,74.0,5.660388679233963,566499.35103,524216.9636000001,663596.9717999998,40744.74254329322,"[ 40  12   7  97  98  90  44  13  38  91  32   3  15  77  85 100  37  72
  92  73   6   0   9  98   8  44  91  51   3  16  12  92  28  10   0  31
   3  41  15  22  24  17  59  64  57   0  78  17  34  59  27  37  33  90
  44  79  55   0  22  55   9  10  75  60  19   9  24  16  59  98   0  26
  75  90  79  78  12  45  82  48  84  38  15  49  88  93  41  45  90  52
  82  20   4  74  50  49  19   8  88  98  83]"
"(10, 0.5, 0.25, 0.5, 0.15)",56.2,45.0,64.0,5.325410782277738,555013.06795,533240.7903,622067.1375,24070.467312416487,"[ 24  32 100  91  89  35   4  86  51   2  79  14  49  93  55  29  85  78
   7   5   8  62  52  54  78  10  14   8  27   3   6  59  14  11  98  29
   2  28  62  83  59  11  91  11   0  72  27  92  60  84  20  65  55   9
  74  55  96  78  30  73  82  73  44  95  25  57  74  38  70   2  50  94
  29  24  12  40  25  37  48  16  88  45  68  50  84  97  73  94  12  76
  37  23  40  72   1  41  27  95  81   8  51]"
"(10, 0.5, 0.25, 1, 0.05)",60.8,51.0,71.0,6.289674077406556,607259.67094,581871.5769,631307.0564000001,16523.584396059687,"[46 65 70 82 48 84 92 32 68 78 45 54 91 81  4 84 85 22 45 61 82 81  6  6
  9 61 12 10 12 80 35  2 54 96 77 35  6 16 17  9 52 91 32 79 20 60 18  3
 28  2 12 13 87 85 66 23 53 10 39  0 81 75 26 65 43 23 60 24 45 15 37 76
 11 91 77 86 44 87 75 74 99 52 93 41 60 85 38 91 35 95 91 90 51 32 73  2
 92  5 35 96 56]"
"(10, 0.5, 0.25, 1, 0.15)",70.5,61.0,83.0,5.554277630799526,470118.4071099999,439416.57200000004,521413.5000999999,25303.379598443833,"[44  5  9 79  9 78 78 58 72 51 11 67  3 57  4 30 41  5  5 95 82 74 34 16
 89 17 12 37 53 10 65 23  0  1 45 65 17 47 88 67 73 26 82 41 48 46 94 32
 58 97 31  5 41 79 94 76 94 48 79 35 93 69 56 52 81 17 86 42  9 39  2 96
 98 98 28 17 84 63 13 26 90 79 53 66 70 95 10 19 55 94 71 98 37 97 68 56
  2  4 79 69 42]"
"(10, 0.5, 0.25, 2, 0.05)",104.1,96.0,112.0,5.940538696111659,383979.75210000004,358642.03440000006,413032.16899999994,16995.946365072574,"[ 79  45  90  47  41  85  94  37  88  38   3   3  84  16   6   6   8   7
  12   8  20  84   7  12   5  10   2  34   9  86  22  14  50  48  13  14
  58  46 100  17  79   3  50   8   6  35  63  94  49  13  51  24  36  46
  23  31  45  36 100  54   5  36  43  77  32  55   3  63  56   3  80  38
  30  87   1  50  18  83  94  47   9  24  69  90  88  45  50   5   2   9
  57  29  48  37  39  20  92  73  23  97  62]"
"(10, 0.5, 0.25, 2, 0.15)",137.9,126.0,145.0,4.867237409455183,715294.4402300001,676130.0939,753227.6338999999,24712.23678268283,"[ 35  41  59  27   0  16  52  35 100  97  96  94  90  92   6   6  69   8
  74   6   6   8   6   7   9  11   6  61  66   8  14  95  95  36  17  21
  31   0  23  18  16  18  22  27  22  43  23  25  32   6  67  20   5  26
  82  91  12  90  73  11  38  37 100  10  20  89  33  19  73  52  42  74
  36  20  20   4  49  75  99  13  14  52  51   6  29  33  94  98  27  98
  46  81  73   5  57  44   3  39  39  87  15]"
"(20, 0.25, 0.5, 0.5, 0.05)",78.9,74.0,84.0,3.1448370387032774,371401.10066999996,338792.9737999999,401029.9436,16957.69204717318,"[92 12 64 79 23 90 39 89 34 45 49 47  5  4  4  7 97 18 47  6 12  8 15 31
  2 49  9  2 15  9 51 13 45 10 12 28 89 56 46 13 28 28 92 53 97 90 95 24
 76 25 74 78 83 47 40 57  3 24 94 52 19 65 44 93 76 59  0 38 87  7 38 12
 96  0 38 98 28 46 15 92 50 41 96 98 47 39 95 31 66 43 83 50 10 69 64 22
 14 10 53 82 19]"
"(20, 0.25, 0.5, 0.5, 0.15)",62.5,50.0,72.0,6.119640512317697,448621.3820300001,389375.70830000006,551185.7339000001,45753.67573602147,"[ 19  87  45   8  31  23   2  60  76  19  47  66  93   6   5   4  40  43
   6   6  73  79  70   3   8  74  18  22  82  91  16  67  16  18  40  91
  38  63  38  12  20  69  57   1  69  53  37  86  14  47  97  87  17  20
  82   9  22  91   3  85  85  74  26  47  37  66  16  53  55  49  54  89
  25  10  86  46  98  56   8   0  39  94  15  95   8  72  39  49  97   9
   3  99  50  98  89 100  66  60  63  97   6]"
"(20, 0.25, 0.5, 1, 0.05)",67.8,60.0,75.0,5.30659966456864,547494.77148,518558.0009999998,570478.7067000001,14977.807510104936,"[18 97  1 75 91 57  0  7 83 81 75 74 52  4 11  5  7 51 12  5  6 89 93 48
  7 37 17 48 54 48 18 82 73 22 77 32 25 63  0 64 34 12 85 11  4 92 61 48
 41 82 65 94  7 58 15 61 89 86 14 60 81 26 24 36 42  9 81 68 51  1 54 69
 65 28 23 79 81  2 94 51 88 84 77 75 43 15 47 76 41 47 80  1 69 38 87 16
 19 59 89 45 48]"
"(20, 0.25, 0.5, 1, 0.15)",72.8,63.0,82.0,5.173006862551025,398634.42098000005,339173.41849999997,440649.02139999997,28126.35018345862,"[ 27  38 100  50  49  43  17  83   8  86   3   3  24  42  96  10   8  56
  18  90   4  64  32  40   8   9  15  12  89  29  77  18  61  34  59  33
  53  64  17  72  23  67  76   3  36  21  12  51  85  16  92  63  54  10
  33  80  83   8  68  32  49  37   3  90  22  34  54  57  14  78  79  95
  74  60  66  28  98  60  35  16  83  21   1 100  99  58  13  48   1  20
  14  53  86  20  56   0  12  93  89  63  82]"
"(20, 0.25, 0.5, 2, 0.05)",112.8,106.0,122.0,5.381449618829484,496661.17982,470531.6083000001,510235.8774000001,12855.561676897956,"[ 16  64  78  68 100  56  68  98   3  48  93   3  88   4   5  85   5   1
  27   4   6  19   7   7  10   7  10  13  37  19   2  13  15  48  49  10
  11  14   9   7   7  53  43  10  25  99  15  89  65  81  10  64  89  76
  12  58  56  80   4  38  68  86  66  14  44  64  39  71  15  28  20  28
   1  64  81  98  76  52  41  88  53   4  68  26  33  23  21  30  20   0
  41  25  65  60  37  38  23  17  43  35  91]"
