Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0, 0.05, 0.15)",183.5,175.0,194.0,5.162363799656123,795.11701,740.8383999999999,845.8335000000001,26.390193273352565,"[ 0.83125702 -0.92022152  0.58430457  0.01709648  0.58442136 -0.30732681
  0.6043717   0.66872362  0.74284114 -0.13345114  0.37225708 -0.31748434
  0.6934693  -0.48229904 -0.01269727 -0.03160587  0.63590904 -0.92024169
  0.53469674 -0.28452982 -0.40805695  0.39231075  0.82449645  0.84913255
  0.15863605  0.6626674   0.92803386 -0.60985213 -0.94071205 -0.73494577
 -0.05070102 -0.9413569  -0.45270598  0.10457679 -0.2404942   0.35408392
  0.45144923 -0.6087146   0.99588651  0.85154936  0.75850789  0.06957131
  0.23860926 -0.31787971  0.15778298  0.08638626 -0.54799229  0.79806169
 -0.68758439 -0.36504656 -0.35936934  0.12740117  0.97455724  0.42596363
 -0.28878246 -0.94440698 -0.93270844 -0.84239634 -0.77152187  0.69825817
 -0.88624065  0.16159603 -0.61435042  0.96727539  0.40146106  0.76119819
 -0.21171981  0.91172986  0.57034077  0.34059669 -0.85891867 -0.02854157
 -0.04472748 -0.6896234   0.47113389 -0.63546676  0.84122332  0.11676
 -0.32927459  0.87123853  0.75414621  0.26391287 -0.07012839 -0.90361877
  0.15834045 -0.05654987  0.30832403  0.43473105  0.78476016 -0.33183681
 -0.18890013  0.036785   -0.09791559  0.0813774   0.66687738  0.81650686
 -0.79071312  0.12085111  0.04359242  0.11547851 -0.6396415  -0.62830981
  0.57055255  0.2919813   0.98458707  0.23859754  0.61436169 -0.27183209
 -0.06539632 -0.85154551  0.26810022 -0.2211851  -0.49103494  0.3563518
  0.66468823 -0.91223404 -0.49791114  0.01401347  0.13623624 -0.52630615
 -0.51212416  0.32355405  0.83012286  0.31405997  0.70799171 -0.66323939
  0.78461185 -0.39307496 -0.45339609  0.70656683 -0.69906051 -0.95745618
  0.3754014  -0.91059463 -0.95432139  0.74500234  0.49961781  0.12530538
  0.28990817  0.73296177 -0.65437092]"
"(10, 0.25, 0, 0.15, 0.05)",129.4,124.0,139.0,4.004996878900157,1266.6996600000002,1171.5684999999999,1387.8864,67.51304222996028,"[ 0.47834187 -0.22207428 -0.68819593 -0.56234083  0.79869652 -0.0461439
  0.73756411  0.26848633 -0.68991366 -0.7129326  -0.29795101  0.75522315
 -0.16844509 -0.69036945 -0.94861529  0.74443173  0.80270325  0.8883173
 -0.13260638 -0.62619954 -0.78843566 -0.92647688 -0.46755205 -0.73040007
  0.11431187  0.8718355  -0.12903662  0.46488665  0.43505195  0.70728266
 -0.85316725 -0.45658225 -0.29685031  0.4626428  -0.11762858 -0.40137695
 -0.57318375  0.67987182  0.49667403 -0.98626658 -0.69398831 -0.40919714
 -0.16907523  0.0277297  -0.68785834  0.74565365  0.11474821  0.6158858
 -0.62430753 -0.12821339  0.64192041  0.9702537  -0.12739956 -0.60983813
  0.90342415  0.12283317  0.56923268 -0.86107327 -0.09937353  0.63049831
  0.62559193  0.53830084 -0.14492793  0.86077033  0.80502804 -0.6767095
  0.42140263  0.96096845  0.20097933 -0.68669506  0.37764534 -0.36124067
  0.24923724 -0.60589508  0.31332912 -0.72981827  0.23197215 -0.11291371
 -0.97860883 -0.8033331  -0.96384804  0.96194442  0.74570647  0.67051208
  0.68864649 -0.08909973  0.95746784 -0.36945012 -0.14077518 -0.45996915
  0.6387551   0.91263924 -0.23276685 -0.27644462  0.86767543  0.514852
 -0.9739345   0.06537232 -0.02005591  0.07844998  0.53066458 -0.17336281
 -0.69790987 -0.00731048 -0.84591352 -0.99722784  0.51967719  0.07550705
  0.7150314   0.77300084 -0.27387331 -0.29214035  0.60597979  0.72169644
 -0.85017084  0.7683795  -0.16477763 -0.34604514  0.93057473  0.81312398
 -0.64363998  0.82942989 -0.47966097  0.48643127  0.6033189   0.61189617
  0.62814807 -0.30086182  0.65956324 -0.37843186  0.02901963  0.18530651
 -0.36738052  0.29030708  0.78343639 -0.66999266  0.1332146  -0.52957977
 -0.77994613 -0.14792486 -0.63297882]"
"(10, 0.25, 1, 0.05, 0.15)",92.8,87.0,96.0,2.7129319932501077,1000.93588,949.8135000000002,1048.8894000000003,33.836822309454604,"[-0.41190151 -0.77850413 -0.30554103  0.95793083  0.69553187  0.1572524
  0.90664093 -0.03241837  0.1959624   0.74847755  0.32678098  0.70804722
 -0.6683249   0.88074336 -0.72504339 -0.63592144  0.16231805 -0.92188933
  0.41379867  0.42073821  0.13291075 -0.79871453 -0.72341851  0.60665211
  0.41695023 -0.13583385  0.16357914  0.69105057 -0.96298995 -0.47300869
 -0.53932002 -0.27202865 -0.39179138  0.75963978 -0.64645892  0.26007485
  0.57174745 -0.28842357  0.10388957  0.15546579 -0.69706637 -0.45068822
  0.85574073  0.08518302  0.45679657 -0.0682608   0.36281103 -0.21665364
  0.03355568 -0.44617824  0.9325175  -0.420996    0.63323468 -0.2047858
  0.94448653 -0.91289645  0.5537076   0.36199104 -0.51376067 -0.56123513
  0.33079334  0.11636477  0.8216419  -0.02246209 -0.96440728  0.78351081
 -0.99732411 -0.93143215 -0.79530784 -0.05128388 -0.3043819  -0.06943135
 -0.15104231 -0.85800399 -0.31002042 -0.83398547 -0.5974733  -0.98384803
 -0.49943887  0.44323374  0.74393449  0.74909218  0.21245459 -0.64581293
 -0.85666237  0.42706649  0.87535774 -0.55268531  0.08862393  0.06253411
 -0.54135198  0.93873873  0.01360806 -0.43439994  0.85426895  0.72323754
 -0.96353399  0.37573355 -0.53264506  0.7531469  -0.90997949 -0.90683046
  0.20951509  0.55325637 -0.10653174 -0.74064298  0.12712959 -0.08878248
  0.25284117 -0.00705953 -0.1656748   0.03782946  0.57866791 -0.61522339
 -0.82234274 -0.67102199  0.41149535  0.28466034 -0.94158527  0.16605025
  0.7011718  -0.2616888   0.20324413  0.1017547   0.91120913 -0.1850756
 -0.14714146  0.07677541 -0.41025235 -0.82578679 -0.95201739 -0.66763117
 -0.92086846  0.45604566 -0.45625022 -0.8624212   0.14138275 -0.9802839
  0.50256942 -0.4754045  -0.90354071]"
"(10, 0.25, 1, 0.15, 0.05)",96.5,93.0,100.0,2.0615528128088303,2625.2497099999996,2502.2114999999994,2718.7097999999996,59.363879549629395,"[ 0.12348317  0.42837276  0.93260496  0.73969449  0.14631975 -0.52770272
  0.28364967 -0.2536154  -0.32689491  0.72805804 -0.09033994  0.73688397
  0.87803955  0.75937558 -0.86980798  0.17447922 -0.3703921   0.06849164
 -0.00181111 -0.52718564 -0.95299973 -0.79854693 -0.72332316  0.71261353
 -0.45536796 -0.90744676 -0.35629935  0.15574274  0.02603348  0.44575316
  0.09047663 -0.082969   -0.04745614 -0.16717487  0.08453005 -0.18540177
 -0.7850168   0.94735545  0.48394916 -0.52568182  0.91173849 -0.20334149
  0.04637845  0.5349649   0.0843982  -0.77541869  0.88525082 -0.33632103
  0.91688923  0.01471368 -0.37422134 -0.11247957 -0.96694701 -0.34187918
  0.82440937 -0.40265673  0.14383903 -0.8110033  -0.39643574 -0.50735102
  0.61858893  0.45373753 -0.1939373  -0.72853014 -0.46854726  0.86521208
  0.42266024 -0.73306217  0.33296609  0.03647778 -0.60923813 -0.07289279
  0.38009439  0.30571006 -0.42480444  0.93088453  0.20285547 -0.37036841
 -0.06366005  0.29917514  0.22256577  0.02770226 -0.5090973   0.15423432
  0.91938024  0.30785644  0.82449868  0.46925617  0.99472466  0.52488327
 -0.5401903  -0.78238853  0.04741972 -0.51747483  0.18016931 -0.37085308
 -0.27354448 -0.89025141  0.95362375 -0.88747806 -0.93656767  0.05413323
 -0.40523885 -0.45768968  0.49861835 -0.00300136 -0.31744104 -0.71871904
  0.43068605 -0.77950424  0.63251284 -0.39592863 -0.06788677  0.45219442
 -0.49772974  0.15065139 -0.78809756 -0.96013174  0.89375397 -0.98603099
 -0.35207083 -0.6735551  -0.85667828 -0.80629069  0.40516733 -0.7618363
  0.77011457  0.3429176   0.1239401  -0.87090721 -0.88971491  0.58141068
  0.10064885 -0.8895363   0.28447767  0.33694129  0.78634437 -0.27410137
 -0.66107283  0.00949675 -0.73915565]"
"(10, 0.5, 0, 0.05, 0.15)",97.5,91.0,102.0,2.80178514522438,1338.79897,1265.4947,1430.1811999999998,44.27449158391431,"[-0.17330769 -0.34840205  0.97066727  0.05244917 -0.44429525  0.04966324
  0.88046071  0.7210384   0.089353   -0.7946614   0.04520078  0.69605988
  0.69809888 -0.58490401  0.83921837 -0.96867117 -0.96094828  0.43756684
 -0.16817497  0.6551375  -0.62813162 -0.24774016 -0.86228449  0.89468466
 -0.21520581  0.18276551 -0.46650608  0.74764173  0.21645051 -0.55010179
  0.12547357  0.74193051  0.14828742  0.36649577  0.38615791  0.44901766
  0.01447626 -0.59851521 -0.40988715 -0.30499087  0.37524435 -0.12956126
  0.47277587  0.52313477 -0.26138617  0.86373868 -0.70818978  0.25237127
 -0.70391141 -0.40561949 -0.44448263  0.41886063  0.8516497  -0.42598578
  0.65937723 -0.77956444 -0.55590103 -0.45701516  0.5032154  -0.93385838
 -0.86781066  0.77025665 -0.05301014  0.42131591  0.88172453 -0.29299453
  0.3655496   0.61382923  0.30898757  0.87037561 -0.40880499 -0.16594982
  0.28827371  0.76941097 -0.34312972  0.83186902 -0.23134455  0.06189165
  0.18786443 -0.23804666  0.56375879 -0.50780896 -0.27271121 -0.52718109
 -0.27853046 -0.25422892 -0.80757466 -0.8692298  -0.51820261  0.08344698
  0.81801109 -0.45571917 -0.95699449 -0.78698612  0.39471274 -0.18896549
  0.52772419  0.96224841  0.29366209 -0.28486557 -0.64931111 -0.10254818
  0.43760697  0.54542872  0.9685276  -0.64174151 -0.62228845  0.75288028
 -0.72953917  0.58563227 -0.5924941   0.08297862 -0.78178959  0.21984835
  0.72114388  0.05406391  0.92438894  0.08147004 -0.86165379  0.05478258
  0.61770868  0.53921924 -0.70841424 -0.40106315  0.65081996 -0.37055791
  0.69488575  0.28760272 -0.37586185  0.08760396 -0.54791034  0.25742782
 -0.9650456  -0.20735213 -0.15899137  0.04339696 -0.03793283  0.50862568
  0.85084732 -0.35040603 -0.94086309]"
"(10, 0.5, 0, 0.15, 0.05)",111.2,102.0,116.0,3.5721142198983507,1188.3066599999997,1065.0582999999997,1279.3115,57.96664501785838,"[ 0.75495741 -0.72906529  0.44769001  0.608969    0.00928713 -0.74348246
  0.45874647 -0.87549776  0.79957629  0.83837231 -0.05297206 -0.26054058
 -0.28913532  0.16965011  0.83995764 -0.37381673  0.8748741  -0.62306132
  0.672978   -0.266028   -0.42624069 -0.85312102  0.94909868  0.72132694
 -0.23025288  0.69442443 -0.25573327  0.72140577 -0.59130768 -0.00226852
  0.81579066  0.49042178  0.27771071  0.51740935 -0.87599219  0.14363952
 -0.52810864  0.95633422 -0.45104999  0.3355927  -0.50406827 -0.99403241
 -0.4247848  -0.51605598  0.33492363  0.04476382  0.85440957 -0.24513129
  0.91612025  0.24730013 -0.61153551 -0.16579645  0.51556286 -0.16874571
  0.45145285 -0.07388568 -0.38261204 -0.92909544 -0.41970325 -0.46002811
  0.25012351 -0.93689558  0.29580216 -0.38804505 -0.91392103  0.59858301
  0.40217345  0.79826668 -0.94752532 -0.24799036  0.18637406  0.37231788
  0.94619901 -0.18168622  0.43481943  0.83786477  0.60552015 -0.10844185
  0.62903339 -0.50806699 -0.26392749  0.42294488 -0.49451374  0.8228969
  0.805997   -0.76700619  0.49347088  0.20408141  0.27421525 -0.23050482
  0.98429436 -0.12946485 -0.70625858 -0.4720141   0.5922317  -0.61192842
 -0.1018717  -0.72911334  0.45832941  0.67129748  0.77063701  0.9482913
 -0.89555672  0.88033071 -0.14816155  0.10384094  0.6749635  -0.61536036
 -0.97856418  0.16841321 -0.49220184  0.03974013 -0.43584246  0.82194859
 -0.86448151  0.60367975  0.7594476  -0.44397055  0.17150973 -0.82354891
 -0.27709906 -0.64852204 -0.82568485  0.97053343  0.78773103 -0.67887108
  0.28642458  0.61502694 -0.26340313 -0.6429655  -0.65050773  0.51039777
 -0.80362142  0.37564866  0.23711688  0.26201957 -0.30705821  0.68320309
 -0.47182733  0.90644289 -0.58856423]"
"(10, 0.5, 1, 0.05, 0.15)",206.4,199.0,212.0,3.8,767.53897,678.1824999999999,829.5891999999998,42.507806526708684,"[ 0.37877962 -0.73979102  0.47795676  0.07413349 -0.29659168  0.15688381
  0.75440488  0.02523056  0.06871688  0.3179284  -0.41346229 -0.16566064
  0.01595238  0.22153841  0.43556064  0.92945142 -0.13721028 -0.35334531
  0.97079136  0.12610152  0.21471978  0.7099728  -0.60125011 -0.94049992
  0.83673256  0.71825627  0.29258063  0.12792243 -0.00991019 -0.97820872
  0.0235173   0.7001087  -0.42223276  0.98023481  0.34701339  0.67266051
 -0.89114653 -0.32130312  0.98516737 -0.61201105 -0.62193984  0.24287969
  0.20460401  0.42775943 -0.78115939  0.85563586 -0.37039527 -0.65625736
  0.58589454  0.59846398 -0.72434949 -0.81540467  0.27769586 -0.17324651
  0.41956207 -0.98331808  0.22758765 -0.70586225  0.75276017 -0.08892129
  0.36525423  0.28619582 -0.53875279 -0.61090014  0.36133784 -0.34756836
 -0.70042824 -0.89093927  0.13452614 -0.87769658 -0.16944626 -0.77494982
 -0.70793339  0.30391417  0.96972316 -0.91960468  0.62737112 -0.19570691
  0.57318961  0.99872023  0.4071997  -0.8928594   0.00879055 -0.35933503
  0.24751049  0.46923964  0.42860786  0.32147215 -0.68077825 -0.4519684
 -0.04566639 -0.12372768 -0.1373235  -0.92383652  0.82167859  0.11481355
 -0.05724306  0.4891454   0.03913657 -0.02345358 -0.19839328  0.40981623
  0.66778774 -0.34737982  0.32705265 -0.88800376  0.37504185 -0.37919389
  0.13136049  0.14780774 -0.80705832 -0.7954447  -0.82881736 -0.70874045
  0.58284464 -0.31178744  0.40518061 -0.15714271 -0.62479819 -0.06874883
 -0.13410565 -0.21218083 -0.23803281 -0.8845213   0.2371159   0.69056411
 -0.88900638  0.18706728  0.78910755 -0.33591044  0.73297114 -0.23299556
 -0.18978474  0.31690483 -0.99896484 -0.60177567 -0.02287904  0.86121083
 -0.21029377 -0.86906273 -0.69131096]"
"(10, 0.5, 1, 0.15, 0.05)",73.4,68.0,76.0,2.690724809414742,2080.1662100000003,1991.6602999999998,2148.8721,42.69957516874026,"[ 0.27509524  0.51353647  0.83034674  0.02138579 -0.60562026  0.33328729
 -0.39090632 -0.45999849 -0.85087966 -0.90605995  0.51521703  0.11406875
 -0.0297499  -0.54127559  0.22698591 -0.80958073  0.79246269 -0.04506705
 -0.56619137  0.41637784 -0.28036169  0.79547104 -0.27602234 -0.36286251
  0.11678217 -0.62340726 -0.77292762  0.93265691  0.91404048 -0.92083683
 -0.90238946  0.67011594 -0.87750326  0.89916141  0.49531541  0.15168215
  0.6037222  -0.3963884   0.98074053  0.33640964  0.42634649  0.92443954
 -0.60728852  0.42954191  0.9185294  -0.20804043 -0.35594243  0.32017133
  0.9752565   0.89865354 -0.74077284 -0.63834512  0.30329012 -0.68485729
  0.1993801  -0.32105477  0.90321379 -0.61804521 -0.78283245 -0.12037187
 -0.40957915 -0.38201343 -0.35501717  0.81310788 -0.45512419  0.07777884
  0.21393746 -0.34766891  0.43367438 -0.69532293 -0.27138558 -0.29651819
 -0.19662607  0.77286013  0.66405909  0.96640847  0.33816366  0.36019304
 -0.41702459  0.18533891  0.39407123  0.32027355 -0.97938445  0.18559666
 -0.57600119 -0.81548951 -0.47407228 -0.2738439  -0.72368597  0.41595842
  0.49164413  0.12279794  0.05198142 -0.42186276  0.51815606  0.47165629
  0.89999608 -0.62269576  0.81290998 -0.96912457  0.41543623  0.0675681
  0.35342548 -0.32987347 -0.96858289 -0.80300233  0.55740177 -0.24557454
  0.13470707 -0.65497313 -0.26621384  0.65114684  0.11897598 -0.35440323
 -0.71552451 -0.61041648 -0.94812797 -0.67646708 -0.25366839  0.62046647
  0.31218796  0.04206411  0.52218855  0.96207157 -0.78260307  0.93233443
  0.41463689  0.90108398  0.97589871 -0.96651137 -0.21091771  0.02023707
 -0.23780598  0.28095406 -0.64741216 -0.84815158  0.86490634  0.56219874
 -0.13823127  0.66823433 -0.74326273]"
"(20, 0.25, 0, 0.05, 0.15)",145.5,137.0,155.0,4.5,789.01613,723.3100000000001,832.2934999999999,33.280967317854504,"[ 0.68832819  0.52741012 -0.51007399  0.91701905 -0.2702945  -0.89617531
 -0.34856427 -0.22317377 -0.61388152  0.68825558 -0.05873297 -0.93097552
  0.80920283 -0.3736383  -0.62383738 -0.76940358 -0.40625629 -0.61683206
 -0.45773744 -0.31609969  0.76219739 -0.89100052 -0.61688537  0.84731384
  0.82254877 -0.77227829  0.09635786 -0.80772911 -0.75027219 -0.03814822
  0.92391023 -0.41898261  0.94828718  0.51422101  0.60305784 -0.7888044
  0.88631231 -0.83743791 -0.94977771  0.29471449 -0.39000379 -0.0243331
 -0.69821454 -0.50793033  0.80724232 -0.18592585 -0.32712916 -0.13439358
 -0.81009119  0.13135583  0.34484295 -0.07651483  0.90508434  0.20404225
 -0.50055068 -0.1226252   0.46548283 -0.20894936  0.13716583  0.61356013
  0.57305568 -0.92247413  0.57864047 -0.13718721  0.20613151 -0.20834797
 -0.05211167 -0.81409462  0.74301448 -0.77656735 -0.92651042  0.73877312
 -0.10097231  0.77343681  0.38540618  0.73625489  0.03799535  0.96637972
 -0.63195715  0.14824776  0.52119758  0.60065042 -0.86026325  0.22448093
  0.96484091 -0.66407107  0.92171222  0.77320229 -0.2857212  -0.69988124
  0.87235323  0.1490464  -0.1181768   0.23832248  0.75179219  0.86698687
 -0.42532947 -0.1176575  -0.78182978  0.02504194  0.45902098 -0.56939042
  0.66673913 -0.08836479 -0.63789239 -0.61017708  0.45534106  0.30827533
  0.65035967  0.03904345 -0.28016723 -0.16131281  0.43609299  0.3320576
  0.62431799 -0.87915476 -0.66341429 -0.44400976 -0.2612149  -0.00936271
 -0.74957891  0.95091865 -0.50461921  0.69617624  0.85780868 -0.17007478
 -0.20563659  0.50065375 -0.08155457  0.6806194   0.72403968  0.83368637
 -0.7543777   0.12034345 -0.68783345 -0.98478822  0.80157518  0.72561452
  0.20107264 -0.09705077 -0.72185347]"
"(20, 0.25, 0, 0.15, 0.05)",59.0,57.0,62.0,1.8439088914585775,1753.6308199999999,1700.6926,1786.4723,28.555365201895082,"[-0.67992535 -0.78023881  0.74819849  0.09680163 -0.64955396 -0.95915091
 -0.86475194 -0.01641942  0.41852397  0.96131723 -0.76771375 -0.92051569
  0.74561475 -0.59245419  0.2236697  -0.12559373 -0.99915208 -0.80716739
 -0.06613563  0.61854834  0.40128392 -0.85125281  0.27152166  0.97148505
  0.44167396  0.56236479 -0.31362537 -0.39478661  0.01100662 -0.6192209
 -0.32935878  0.63965926 -0.74996291 -0.9637611  -0.69841527  0.78877953
  0.87255182 -0.01767103  0.72075528  0.89519295 -0.26584706  0.41490478
 -0.18267547  0.00537544 -0.60271284  0.31152204  0.02626371  0.86486909
 -0.12140914 -0.05767692 -0.80340426  0.76718252  0.88931139  0.71262981
  0.65366144 -0.60243151 -0.76885592 -0.07038055 -0.37031582  0.54737591
  0.83964082 -0.37076756  0.13220173  0.34845429  0.61811484  0.140117
 -0.49042657  0.92492214  0.86079012  0.08040847 -0.93406801  0.10610039
  0.28431045 -0.93020392 -0.26269426  0.58516677 -0.02997517  0.91754389
  0.86946463 -0.02485781  0.8413401   0.14065579 -0.5574495  -0.81553967
  0.67672638 -0.62470352  0.80437743  0.70078043 -0.94212191  0.34939982
  0.02168082  0.9333792   0.3404987  -0.73868149  0.69036202  0.75025303
  0.15155731  0.25982702 -0.42908627 -0.18430811 -0.81485554 -0.89459867
 -0.14131918 -0.35574099 -0.84680041 -0.60451567 -0.41002082 -0.47491919
 -0.76187916  0.79522429  0.86311682 -0.72134739  0.55053563  0.67261625
 -0.59884105 -0.90537683  0.21516316  0.39898005 -0.69304755 -0.27382898
  0.36911578 -0.8023148   0.86524909  0.99542386 -0.93617381  0.59600298
 -0.46448069 -0.97132326  0.68213536 -0.5527706  -0.34308326  0.17773987
  0.8728674  -0.6457295   0.9095246   0.70693737 -0.8981717  -0.98557184
  0.36649699  0.78737505  0.74546295]"
