Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0, 0.05, 0.15)",246.8,244.0,252.0,2.1354156504062622,1709.28809,1522.0031999999999,2058.3873,147.36878979858278,"[-0.59348022 -0.55270435 -0.5048689  -0.4793036  -0.6403716  -0.04317745
 -0.94077713  0.88269737 -0.37137419  0.19213714  0.19300924 -0.27856442
  0.20900264 -0.67124878  0.79325292 -0.44961968 -0.30985567  0.53500502
 -0.35637206  0.61257064 -0.38298158 -0.00987365  0.48880454  0.88672519
  0.21462132  0.80595749  0.61989421 -0.08702905  0.7158321   0.61127005
  0.4496074   0.75123663 -0.94563974  0.61977862 -0.00247114 -0.44771422
 -0.30554603  0.0882287   0.62565067  0.02649847  0.81511152 -0.81283019
  0.87463066 -0.24043678  0.52298132  0.69848745  0.59917209 -0.3651277
 -0.52121768  0.93213002  0.35030977 -0.86853814 -0.48976376 -0.94262357
  0.74334436 -0.02147381 -0.70921809 -0.07960324 -0.34334654  0.33610342
  0.07349668  0.87950828  0.19593228  0.29811064  0.94771103  0.79470413
  0.5369548  -0.73820103  0.49724667 -0.44906323 -0.01511977 -0.42833969
  0.48900941 -0.65462945 -0.73270907  0.18695389  0.68842828 -0.59014759
 -0.08954646 -0.25543402  0.82601957 -0.58086457  0.6097981  -0.43680591
 -0.65629311 -0.76433173 -0.65882696 -0.54637456 -0.16543196  0.74145296
  0.72873733  0.77247705  0.03450768 -0.2780795  -0.00342228 -0.68432301
  0.26827896 -0.23655945 -0.65214581 -0.55209276  0.36742321  0.04487022
  0.2380706  -0.85229562  0.54722318 -0.04916162 -0.31871573  0.43743634
  0.18655348 -0.18295063  0.4880469  -0.19725095  0.57915009 -0.96196845
 -0.50928162 -0.45978812  0.05337799 -0.87957667 -0.55994727 -0.90538718
 -0.7046686  -0.85167251  0.96138414 -0.75659535  0.53735392  0.92126389
 -0.66234697  0.37741943 -0.60148849  0.59008502 -0.72596432  0.92907253
 -0.42718519  0.8267149   0.59256649  0.30604657  0.75700171 -0.79262633
 -0.43749594  0.95666437 -0.66821095]"
"(10, 0.25, 0, 0.15, 0.05)",253.6,248.0,260.0,3.8522720568516444,837.20676,784.3392000000001,898.8255000000001,35.32118644488603,"[ 0.90922617  0.02559989  0.96864164  0.06042083  0.18849693 -0.11061031
 -0.7367539   0.03597233 -0.08880992 -0.19815687  0.55948875  0.08190134
 -0.95933607  0.26754076  0.6286923  -0.64378606  0.1284092  -0.3624595
 -0.62190525  0.80300423  0.03847993 -0.20350452  0.14520963  0.62491021
  0.05555202  0.61861878  0.84205164  0.26482924 -0.40036469 -0.23420485
 -0.62260702 -0.85935923 -0.49572331 -0.14283999 -0.7654845  -0.13373379
  0.70754327  0.65706965 -0.9712288  -0.51016859 -0.99967414 -0.64565912
 -0.91284948 -0.59474618 -0.66852826  0.96902376  0.3797257  -0.51549731
  0.04124437  0.14496723  0.03027    -0.01119386 -0.71840489 -0.01261698
 -0.73626093 -0.02130529 -0.60158608 -0.8272213  -0.0075349  -0.77863994
 -0.25075758  0.51792208 -0.65250796 -0.18248939  0.27193675  0.66325963
 -0.07506115  0.36820885 -0.57466502 -0.43857005  0.23382322  0.72795996
 -0.00824997  0.33000462  0.52700105 -0.5111649  -0.44489195 -0.38801898
 -0.07928129 -0.85838889 -0.66932826  0.43530748 -0.1189765  -0.54040752
 -0.23975998 -0.10410906  0.9791236  -0.04425437  0.4968725   0.93680052
  0.11436225  0.17476191 -0.19413038  0.09254567  0.53708563  0.14681806
  0.31545575  0.49201304 -0.30490573  0.31135411  0.16317246  0.22817516
 -0.78222002 -0.30601812  0.90013828  0.47016905  0.2286521   0.04556443
 -0.42018225  0.93230667 -0.65641129 -0.82777117 -0.80020941 -0.04072159
 -0.94057883 -0.37412065  0.88273676 -0.31170169 -0.82260901 -0.59374317
  0.61626426 -0.51358399 -0.53970351  0.99507552  0.04618086  0.63870125
 -0.19799647  0.78671974  0.33532772  0.85116655  0.89170228  0.23104461
 -0.07394514  0.59413811  0.65886805 -0.47803289 -0.99265566  0.97149933
  0.93010577 -0.22743737 -0.79796667]"
"(10, 0.25, 1, 0.05, 0.15)",243.1,236.0,251.0,3.935733730830885,4793.016030000001,4209.7272,5452.293699999997,433.5536559603015,"[-0.46841133 -0.37988094 -0.54510428  0.57595972 -0.22506001  0.15816849
 -0.03216412 -0.1454548   0.65469795 -0.4400015  -0.65308918 -0.21809523
  0.85642888 -0.84543154  0.88709787 -0.84179044 -0.89526351 -0.72629865
  0.23166106 -0.18600982  0.05487084  0.67649659 -0.16640476  0.05898779
 -0.5244977   0.66911687  0.43540164  0.73239067 -0.34354668  0.00136457
  0.07711621 -0.37525112  0.14914657 -0.30369918  0.56134888 -0.16177129
 -0.9099257   0.21601016  0.78955962 -0.47647866 -0.55317917 -0.40301602
 -0.20016276 -0.45255809 -0.72901104 -0.54653119 -0.19914045  0.60532028
  0.87068335 -0.20555315 -0.39325174 -0.79807252 -0.10587187 -0.35036443
 -0.12833578 -0.33598389 -0.40460661  0.48439482 -0.61322973  0.46625834
  0.0689958  -0.08074875  0.77494783 -0.93353488 -0.28628476 -0.41082976
 -0.30023001 -0.51268468  0.48634388  0.60058617 -0.250537    0.44210156
  0.59901044  0.67725136 -0.56717456  0.54252511  0.84986852  0.53939024
 -0.47229865  0.12018004  0.25918589 -0.18495815 -0.05303619  0.30169126
 -0.91093135 -0.94202734 -0.67204361 -0.11392561  0.69438826 -0.51421502
  0.33925403 -0.1262118  -0.36199245 -0.02610295 -0.41584558 -0.87917993
 -0.42492791 -0.29993556 -0.53727495  0.60267917 -0.63511589 -0.41270599
  0.4116534   0.0631275   0.57062044 -0.91424401 -0.47083095  0.37265692
 -0.19339609  0.61884852 -0.18556866 -0.84859393 -0.59856584 -0.4222372
 -0.80004285 -0.38937119 -0.77914763  0.81055626 -0.6407796  -0.12945852
 -0.51876454  0.6623038   0.80211406  0.42526173 -0.9735547   0.50717939
  0.52178661  0.59925335 -0.76271325  0.75653124  0.88571304  0.93575037
 -0.99035187  0.33097976  0.33406605  0.47987307  0.63037279 -0.66257313
 -0.62814059  0.18960074 -0.97482472]"
"(10, 0.25, 1, 0.15, 0.05)",209.3,204.0,214.0,3.407345007480164,7451.2861,6898.910299999997,8407.4366,466.16445049677935,"[-0.60609584  0.10783122  0.63206439 -0.27814311  0.17088774 -0.80083675
 -0.48511263  0.97174581 -0.44111678  0.83551836  0.74490401 -0.29658041
  0.99761326  0.09741147 -0.15786202 -0.82518929 -0.1791388   0.54071478
  0.99173508  0.34968172  0.46646822  0.67879364  0.41568675 -0.61365764
  0.51032697 -0.63502021  0.73084336 -0.96915142  0.97602775  0.27752609
  0.1952859   0.56000904 -0.69084576 -0.18506061  0.80410139  0.15035069
 -0.23347187 -0.9150097  -0.54084351  0.7135789   0.1560415   0.88413125
  0.71336696  0.09639052 -0.11613005 -0.03052347  0.97390572  0.99570776
  0.29295655  0.40957173 -0.08105222 -0.087501   -0.27472459  0.29118654
  0.35091798 -0.8223633  -0.30435448 -0.98536021 -0.63651773  0.5132308
 -0.66120513 -0.11864476  0.27900907  0.81264319 -0.28643316  0.17539888
 -0.19008472  0.57306163  0.61333419  0.7307823   0.14488601 -0.85849145
 -0.51709806 -0.10082629 -0.07868693 -0.71143585  0.65793537 -0.11692752
 -0.31245938 -0.81915446  0.69571228  0.93905731  0.56763406 -0.35355817
  0.90884011  0.71292566 -0.99531299  0.74620869 -0.63067904  0.16170295
 -0.86935177  0.57623894  0.33650172  0.26950023 -0.25215352  0.6915254
  0.28766972 -0.25335759  0.91514147 -0.90992026  0.00392996  0.73957018
 -0.48050544  0.4036633  -0.34139108 -0.1234243  -0.48470285  0.45466364
 -0.60293919 -0.81447031  0.3040406  -0.97556641 -0.17184487 -0.85020304
 -0.93368013  0.23471492 -0.15416389  0.52482369  0.73360294 -0.0241285
  0.86414035  0.73087472  0.02788461 -0.02391068  0.54753036  0.8025638
  0.78025486 -0.78914368  0.37931001  0.76076082 -0.11363287  0.99521057
  0.93786626  0.81936284 -0.05335314 -0.50266234  0.12811396 -0.75043642
  0.89054162  0.69199634 -0.83560923]"
"(10, 0.5, 0, 0.05, 0.15)",257.3,249.0,264.0,4.243819034784589,748.9663499999999,713.8898,813.5242000000001,28.26086452609868,"[ 0.09611843  0.39912315  0.93816615 -0.3542886  -0.64373829  0.19216293
 -0.97127733 -0.03116316 -0.17822561 -0.5148216  -0.1931785   0.06450759
 -0.90491089  0.90483713  0.30822794  0.70218341  0.32987034 -0.97939009
  0.4387321   0.61632619  0.22369434 -0.10452846  0.88919892 -0.04863157
 -0.35504825 -0.94242721  0.33380844  0.18246515 -0.70025883 -0.67010589
  0.95229308  0.73969861 -0.55278203  0.24365967  0.47200543  0.64755702
  0.50995633 -0.7886841   0.79705805  0.25423342 -0.46396997  0.92396722
  0.52963695  0.87086549 -0.09695014 -0.48685737  0.98056615  0.3980488
 -0.28505169 -0.01188832  0.29074022  0.27951529  0.12602287 -0.63359567
 -0.12311806  0.69654651  0.61040684  0.3971685   0.59096904  0.93876256
  0.61286469  0.78045371 -0.59128959  0.47689578  0.22642695  0.44662826
 -0.97924807 -0.17425804  0.33982306  0.1907805  -0.00194668 -0.48326249
 -0.27156219 -0.43824083 -0.21585256  0.41083238 -0.73848567  0.20900041
 -0.00346714 -0.19318077  0.89726702 -0.13562311 -0.99791808 -0.05554532
  0.45737798 -0.05547544 -0.1887179  -0.53505141 -0.24556722 -0.40996032
 -0.63698172  0.08330956 -0.62072751 -0.45594339  0.73743781  0.18044584
 -0.17115802 -0.93120388  0.24784665  0.57886625 -0.81454509 -0.71498808
  0.03600653  0.33110866 -0.24514001 -0.97081752  0.93267543 -0.8830979
  0.03369336  0.4803432   0.35767064 -0.3435278  -0.13695817  0.8422159
 -0.92425547 -0.90616136 -0.05773262 -0.56767341 -0.71625     0.54909785
  0.93199279  0.53288071  0.02590841 -0.97688367  0.45533588  0.37232909
  0.92817086  0.69282339  0.60207861  0.81101485 -0.75403895 -0.11180434
  0.71922778 -0.88838599  0.43601935  0.53069767  0.10507025  0.65538943
  0.84330065 -0.37891006 -0.85371529]"
"(10, 0.5, 0, 0.15, 0.05)",211.3,207.0,218.0,3.195309061734091,9254.34684,8330.002300000002,9926.251600000001,499.8686152239594,"[-0.64294963 -0.52265595 -0.44115126  0.5609355   0.0118938  -0.24202746
  0.35981619 -0.74679807  0.00385092  0.0572371  -0.41509475  0.7900954
  0.5161424   0.53170288  0.8668308  -0.39584054  0.00904543 -0.37721316
 -0.80415658 -0.91428729  0.36374588  0.20765368 -0.3483504  -0.14069306
 -0.1842852   0.06129789  0.50656099 -0.6910265   0.3236712  -0.91368597
 -0.37327169  0.84497887  0.73581757 -0.40359943  0.16773147 -0.24724155
  0.05081409  0.87797475  0.73462507  0.33719483 -0.31890755  0.04535364
 -0.3688435  -0.02289617 -0.05532465  0.10165539 -0.33407221 -0.5228116
  0.38935593  0.07698221 -0.49385644  0.49416441  0.54414859 -0.32271377
 -0.93534021 -0.15540697 -0.35384028  0.91395996 -0.4044562  -0.34790913
 -0.35307784 -0.44147305  0.47983418 -0.31695724  0.9918555  -0.36938564
 -0.20914681  0.11130092  0.85173129  0.16554643 -0.50991108 -0.94714445
  0.11649219 -0.6799489  -0.97803804  0.23147863 -0.53941988  0.41264519
 -0.61224398 -0.51409815 -0.43024492  0.07665054 -0.00262304  0.21296574
  0.80531347  0.68718292  0.15035808  0.40214412 -0.48887332  0.7133898
 -0.61441053  0.6543074  -0.84466107 -0.47167581 -0.89983756  0.11988708
 -0.63512051  0.09011348  0.60685103  0.3056688  -0.13659566  0.28918881
  0.56328584 -0.90620077 -0.25589249  0.88099869 -0.57840396 -0.63061322
  0.53893954 -0.20770665 -0.74381187 -0.62627102 -0.88611036  0.60508313
 -0.6809576  -0.91153793  0.21038582 -0.81161979 -0.29629598 -0.93527471
 -0.16188347  0.85845665  0.68181996 -0.97198     0.93553857  0.49010607
  0.33767486 -0.16089834  0.98176205  0.52903826 -0.42621873 -0.90246331
  0.91520379 -0.34986866  0.86811599  0.64552053  0.82685368 -0.27805406
  0.59321103  0.65161067  0.30024929]"
"(10, 0.5, 1, 0.05, 0.15)",256.7,249.0,264.0,4.583666654546335,1261.1097699999998,1222.5724999999993,1305.5596999999996,25.435718057411,"[-2.62352770e-01  6.86329377e-01 -3.25742016e-01 -3.60810861e-01
 -4.92821569e-01 -4.78017473e-02  4.18095769e-01 -2.11041940e-01
 -2.84127261e-01  7.92492292e-01 -5.13576978e-02  9.12193129e-01
  3.49163041e-01  6.64839541e-01 -6.48125161e-01 -3.42905006e-01
 -8.20953621e-01  7.60417605e-01  3.21910929e-01  1.28549232e-01
  1.75704712e-01 -3.52588512e-01  4.64026794e-01  5.12907099e-02
 -7.39449238e-01  6.28901341e-03  5.56585932e-01  5.91294254e-01
 -8.29680048e-01 -5.88457936e-01 -6.42730159e-01  6.88702803e-02
  3.55531764e-01 -2.01922353e-02 -1.03621939e-01 -2.32750557e-01
  2.77810372e-01  6.38654050e-01 -4.43656924e-01 -1.60467367e-01
 -7.78624892e-01  8.75426947e-01  2.22131409e-01 -3.02384095e-01
  6.50098347e-02  8.68896813e-02  5.71243002e-01  8.20989791e-02
  5.56067018e-02  3.56089260e-01 -3.48558911e-01 -9.37665827e-01
  1.16470329e-01 -4.41792352e-01 -3.91224407e-01 -5.21932638e-01
 -5.85267172e-01  7.75642340e-01  6.98028286e-01 -9.20412007e-01
  1.85321950e-01 -9.74349859e-01 -2.34037789e-01 -6.04642389e-01
 -4.05530397e-01  7.19630808e-02 -1.17411224e-01 -8.40089312e-01
  3.71878534e-02  5.07251893e-01 -8.20348398e-01  7.75183792e-01
 -5.83207463e-01 -6.42005854e-01 -4.12724658e-01  9.59267819e-01
  8.59867947e-01  4.11020563e-01  7.54292806e-01 -5.42981910e-02
 -3.17028079e-01  1.04176640e-01  6.37741786e-01 -4.83573389e-01
 -1.01695293e-01  2.25546961e-01 -4.74904989e-01  4.07267295e-01
 -8.59954442e-01  7.44870736e-01 -6.90377642e-01  4.56635055e-04
  3.52745847e-01  6.65303802e-01  8.64499588e-03  8.78949716e-01
 -3.40320302e-01  6.43098672e-01 -8.34644355e-01  3.00365618e-01
 -2.92278994e-01  4.66143160e-01 -8.42479525e-01  1.94842038e-01
  7.84303836e-01 -2.11928299e-01  2.90670748e-01 -3.00843750e-01
  3.22189509e-01 -6.64359573e-01 -6.09718441e-01 -9.66728766e-01
  8.37504965e-01  9.20193203e-01  8.47219702e-01 -4.60472485e-02
 -3.67795202e-01 -8.33062039e-01 -8.75237920e-01 -2.94698623e-01
  7.65461934e-02  7.32535634e-01  2.42626707e-01 -5.81039086e-01
  2.05927549e-01  5.63277393e-01 -4.90489047e-01  8.04168539e-01
 -5.90316007e-01 -1.27475421e-01  4.07074920e-01  4.30044603e-01
 -1.97030036e-01 -7.58371307e-01 -2.47690422e-01 -1.69973987e-01
  4.21296652e-01  3.19939908e-01  3.79814723e-01 -5.03940129e-01
 -9.79514246e-01]"
"(10, 0.5, 1, 0.15, 0.05)",210.7,206.0,215.0,3.257299494980466,1058.5078800000001,1004.5852000000001,1108.5771000000004,36.927182856205,"[ 0.33230059 -0.08715195  0.26901911 -0.12026188  0.11453679 -0.61728507
 -0.20234854 -0.43448987 -0.29062588 -0.78467022  0.77283286  0.7854748
 -0.35562978 -0.15194031 -0.89960056  0.85812762  0.0305522  -0.72925367
  0.5517166   0.58089146  0.5856172  -0.59526072 -0.25917502  0.07626135
 -0.76747983 -0.93892186 -0.1255117   0.7422011   0.35204055  0.02585487
  0.3604485   0.57395811  0.27006055  0.54807192  0.35725792  0.20433068
 -0.50699638 -0.51583974 -0.5512387  -0.3247817  -0.54552046  0.90024145
 -0.23348265 -0.63707798 -0.9793692  -0.00602126 -0.42152217 -0.0332289
 -0.91126832  0.90328074 -0.19271458  0.59037416  0.19583169 -0.19922769
  0.53083838  0.27159124  0.86869792  0.33333883 -0.96118584  0.50204977
  0.21751967 -0.97503331 -0.7270986  -0.8952678   0.52540254 -0.0321757
 -0.75807554  0.82591272 -0.62643833 -0.44752004  0.98650854 -0.71386179
 -0.63032595  0.66669602 -0.10704348 -0.82804929 -0.54835442 -0.60358323
  0.60488717 -0.57618368 -0.36159002  0.07135488  0.35747925  0.36313044
 -0.32749645 -0.07847503 -0.70860047  0.1269113  -0.33445429  0.18634869
 -0.1369906   0.87751393  0.83691432  0.27346904 -0.74737076  0.84250358
  0.37829656  0.71719838  0.42039296  0.32071659 -0.67934316 -0.0950555
  0.17956287 -0.97838114 -0.48626503 -0.12864093  0.22917317 -0.87066073
  0.05109793  0.92629098 -0.92088071 -0.70542652  0.36035733  0.51415611
 -0.03717433 -0.92586742  0.7468562  -0.82372513 -0.72859701 -0.37204504
  0.64061935  0.97918343  0.44258304  0.16080976 -0.4030473  -0.01429175
 -0.74725873 -0.57811022  0.61282109  0.47090695  0.6777511   0.81316572
 -0.93620087 -0.11218755 -0.13318691  0.4992143  -0.20556667 -0.18946452
  0.67808088  0.57615681 -0.15547824]"
"(20, 0.25, 0, 0.05, 0.15)",258.1,253.0,265.0,3.5902646142032486,764.09859,713.3547999999998,810.8859999999997,28.505805237089813,"[ 0.48073222 -0.2958865  -0.48510945  0.57278942 -0.97314428 -0.80211113
  0.26212565 -0.21409353 -0.51587437 -0.18365672 -0.1225093   0.59929779
  0.898852    0.97104058 -0.69262006 -0.1639277   0.10114692  0.88041441
  0.90166292 -0.14974399  0.72373238  0.25896024  0.81719323 -0.59631133
 -0.32430022  0.83492717  0.14452396  0.69421265  0.61605482 -0.05658822
 -0.72425631  0.22126863  0.5436255  -0.00507762 -0.80774753  0.64639623
 -0.67303629  0.86690826 -0.50009548 -0.89398363 -0.38251823 -0.10558674
 -0.33872663 -0.79528689  0.29790779  0.31031725  0.63045995 -0.28342763
 -0.49478849 -0.3583486   0.90628562  0.61264501 -0.66749979 -0.56456309
 -0.11786856 -0.65949929 -0.56358023  0.33822212 -0.76619217  0.44031739
  0.26154219 -0.22407324 -0.80640226 -0.30229172 -0.36586872 -0.70079914
 -0.2162921   0.29852199 -0.44287329 -0.01281086  0.54959651  0.68533656
  0.27876776  0.17168043  0.72741846  0.99575092  0.84356515  0.64896602
 -0.34020043 -0.99766206 -0.10408512  0.34017575  0.63213978 -0.60811464
  0.01437071 -0.58758878 -0.96102122  0.86498561  0.21611392  0.83996246
  0.04270625 -0.87022066 -0.6653575  -0.27102712  0.48765881 -0.91736709
 -0.41360766 -0.97594054  0.1123657   0.55993304  0.71451701  0.90668858
  0.18262936 -0.65763244 -0.26441995 -0.37768851 -0.20882804  0.19460085
  0.89053758  0.84326165  0.2652748  -0.9844595   0.24808591  0.07488068
 -0.05656919  0.66154345 -0.09732575 -0.87849892 -0.60548294 -0.33413671
  0.89037237 -0.07657119  0.33483771 -0.84486874 -0.50574723 -0.31671192
 -0.89849711  0.86145076  0.28913348  0.92870368 -0.4376745   0.79476026
 -0.32568945  0.7510725  -0.30358706 -0.44200576  0.29257939 -0.25475104
 -0.03449226  0.93808645 -0.91521403]"
"(20, 0.25, 0, 0.15, 0.05)",225.3,218.0,233.0,4.495553358597804,1116.81841,1002.4167000000001,1213.8992,62.560090847591496,"[ 0.29591542 -0.41769757 -0.18502898  0.4276911  -0.3872161   0.96734984
  0.57436157  0.24627211  0.04875519 -0.46786029  0.68907526  0.12017385
  0.61885631  0.69667266 -0.42664631 -0.51964561 -0.31846049 -0.12630988
  0.2434013  -0.95091476 -0.66196121  0.25013335 -0.96122609  0.22614378
  0.01136848  0.09630016 -0.24486063  0.14261432 -0.27765803  0.9058157
  0.03228734  0.29040731  0.40188644 -0.5948245   0.35719938  0.82479785
  0.54424969 -0.52064683  0.78087523 -0.13917847 -0.95284442  0.83028882
  0.9913418  -0.18631728 -0.69697818  0.40639745  0.47466938 -0.58492573
 -0.96684612 -0.28678071  0.28488671  0.59006733  0.12891346 -0.68615411
  0.2610429  -0.20703773  0.3558077   0.30755804 -0.94314526  0.93252716
  0.69847996  0.95835278  0.76502686 -0.35712002  0.89494229 -0.32251988
  0.93020893  0.7637768   0.93041652  0.98838324 -0.03001634  0.49633553
  0.00857665 -0.48217095  0.72458765  0.54209842 -0.43251535 -0.41685263
  0.35932127  0.66944524 -0.75560913  0.34086883 -0.68468136  0.19503489
 -0.84208678 -0.40514747 -0.28833002  0.57443293  0.83986714  0.58217977
  0.82427313 -0.03146473 -0.91829695  0.27349659 -0.79420286  0.87277562
 -0.18088573  0.69071431 -0.81328536  0.13526777 -0.22654813  0.24818126
  0.15395948  0.86848514 -0.60661655 -0.75483007 -0.58191817 -0.49524481
 -0.8182205  -0.53366926 -0.72878517 -0.07768591  0.33642035  0.48644438
 -0.74763816 -0.88539884  0.48343688  0.84603835  0.13472003 -0.12933195
  0.48786979  0.85910178  0.45275813  0.36639822 -0.66435856 -0.9740224
 -0.33117005  0.93504503  0.14295863 -0.20974381  0.96824614  0.36071603
  0.05817374  0.66914273  0.8573058   0.73445355 -0.9017263  -0.12811103
 -0.99875401 -0.21075789 -0.20609608]"
