Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0, 0.05, 0.15)",18.2,12.0,24.0,3.7629775444453557,159084.35625,135761.4284,189429.39619999996,17896.02380935318,"[ 56.  94.   8.  17.  50.   5.   1.  85.  62.  34.  37.   1.  26.  22.
  29.  18.  18.  14.  38.  33.  24.   5.  21.  25.  10.  28.  63.  14.
  19.  17.  12.  50.  56.  84.   7.  12.   6.  41.  55.   7.  72.  25.
   1.  45.  17.  67.  48.   2.  92.  67.   6.  97.   7.  46.  80.  13.
  95.  73.  66.  51.  18.  93.  41.  54.  64.  24.  34.  54.  19.  32.
  33.  32.  62.  34.  33. 100.  91.   1.  25.  37.  41.  20.  62.   0.
  74.  87.  44.  31.  58.  92.  80.  33.  43.  99.  18.  61.  46.  31.
  89.  62.  93.]"
"(10, 0.25, 0, 0.15, 0.05)",23.1,17.0,29.0,3.6180105030251086,259678.86019,199708.50439999998,296855.3432,27439.217698252018,"[87. 12. 25. 11. 15. 30. 62.  4. 21. 58. 85. 43. 25. 38.  6. 21. 49. 30.
  9.  5. 37. 62. 23. 45. 53. 26. 34. 34. 24.  0. 19. 29. 69.  6. 50. 63.
 12. 73. 36. 20. 44.  6.  1. 15. 76. 15. 47. 91. 46. 53. 28. 25. 37. 97.
 56. 11. 95. 80. 81. 98. 92. 95. 30.  2. 42. 18. 96. 16. 71. 37. 90. 20.
 62. 36. 59. 21. 60. 96. 15. 90. 52. 61. 66. 31. 75. 76. 33. 25. 67. 74.
 65.  8.  8. 18. 35. 72. 78. 56.  1. 89. 14.]"
"(10, 0.25, 1, 0.05, 0.15)",12.6,9.0,16.0,2.3323807579381204,143755.99891999998,117980.898,181687.38029999996,17277.759009098118,"[ 37.  86.  58.  44.  37.   8.  11.  22.  10.  15.  13.  40.   1.  33.
  20.  53.  21.  22.   0.  21.  37.  21.  11.  49.  32.  21.  16.  25.
  46.  19.  47.  36.  22.   0.  97.  52.   9.  16.  19.  13.  28.  72.
  39.  38.  68.   5.  45.  95.  44.  84.  88.  43.   8.   6.  55.   1.
  57.  25.  64.  10.  36.  74.  44.  69.  47.   3.  26.  21.  21.  32.
  83.  31.  13.  44.  35.  78.  59.  17.  63.  61.  68.  59.  66.  53.
  11.  22.  30. 100.  85.  15.  15.  26.  90.  94.   7.  60.  60.  59.
  62.  21.  68.]"
"(10, 0.25, 1, 0.15, 0.05)",25.4,19.0,34.0,5.083306010855534,226417.71073,204077.2468,243106.0641,10864.375028259254,"[ 45.  44.   3.  15.  35.  30.  27.  51.   1.  23.  22.  58.   5.   0.
  51.   0.   0.  22.   4.  53. 100.  29.  38.  17.  27.  25.  71.  17.
  10.   1.  19.  73.  14.  50.   5.  22.  40.  93.  38.  65.   2.  86.
  49.  41.  32.  54.  83.  39.  85.  68.  16.  96.  14.  10.  18.  13.
  57.  89.  74.  76.  96.  36.  21.  45.  43.  29.  90.  27.  68.  68.
  38.  85.  19.  30.  30.  83.  66.  97.  32.  75.  18.  15.  22.  61.
  89. 100.  15.  22.  25.  49.  69.  91.  47.  54.  21.  68.   2.  66.
  19.  96.  74.]"
"(10, 0.5, 0, 0.05, 0.15)",26.7,18.0,33.0,4.495553358597805,121544.31005999997,96149.34899999997,153439.23169999995,14856.329744508257,"[  0.  71.  10.   7.  95.  74.   2.   0.  22.  17.  20.  15.  19.  37.
  18.  52.  21.  10.   3.  24.  49.  25.  52.  53.  16.   7.  12.  43.
  20.   9.  40.  11.  19.  34.  45.  48.  82.  38.  31.  45.   9.  17.
  39.  41.  83.  30.  38.  69.  30.  12.  24.  51.  10.   0.  89.  18.
  66.  57.  67.  53.  54.  67.  13.  36.  25.  95.   8.  58.   0.  81.
  65.  48.  27.  75.  93.  39.  93.  27.  83.  24.  91.  18.  16.  69.
  16.  34. 100.  45.  19.   8.  79.  49.  42.  15.  50.  47.  74.  83.
  30.  65.  34.]"
"(10, 0.5, 0, 0.15, 0.05)",19.4,15.0,23.0,2.416609194718914,115262.16907999999,97452.6298,154301.8529,16010.395818699732,"[ 97.  15.  51.  56.  14.  35.  19.  16.  30.  12.   9.  38.  25.   7.
   1.  36.  12.  40.   2.  12.  16.  12.   1.  17.  14.  35.  22.   6.
  35.  54.  33.  30.  53.  10.  34.  30.  68.  41.  26.  43.  19.  11.
  73.  95.  33.  23.  10.  45.  34.   8.  11.  47.  43.  18.  15.  42.
  69.  83.  40.  92.  62.  40.   2.  53.  48.  91. 100.  23.  49.  79.
  81.  53.  81.  26.  85.  66.  43.  82.  61.  37.  75.  23.  73.   2.
  98.  97.   8.  72.  60.  24.  90.  90.   8.  51.  15.  12.  66.  49.
  32.   7.  44.]"
"(10, 0.5, 1, 0.05, 0.15)",7.8,2.0,14.0,3.8678159211627436,201116.22438,154104.05699999997,264679.4644,32223.580662969754,"[ 69.  50.  32.  12.  46. 100.  55.   4.  22.  48.  21.  15.  30.  21.
  11.  26.  58.  25.  22.  18.  25.  33.  20.  46.  50.  22.  22.   0.
  42.  55.  32.  12.   5.  56.  69.  54.  88.  31.  11.  33.  70.  40.
  41.  31.  65.   8.  43.  67.  23.  13.  95.  64.  55.  49.  56.  59.
  68.  15.  49.  60.  44.   4.  46.  97.  70.  75.  26.  22.  22.  63.
  69.   4.  36.  57.  32.  62.  26.  11.  74.  60.   1.   2.  67.  30.
  78.  81.  88.  65.  29.   4.   5.  47.  39.  49.  28.  22.  56.  35.
  63.  80.  72.]"
"(10, 0.5, 1, 0.15, 0.05)",16.1,9.0,19.0,2.808914381037628,208466.27185000002,173877.5762,236514.36729999998,19236.94383668689,"[64. 31. 73. 15. 14. 17.  5. 13.  9.  7. 92. 23.  1.  7. 52.  1. 77. 79.
  5. 78.  4. 30.  1.  4.  5. 30. 27. 35. 50. 22. 57. 27. 72.  7. 28. 59.
 18. 75. 40. 69. 22. 66.  2. 55. 45. 44. 19. 58. 23. 91.  0. 71. 39. 98.
 51. 81. 69. 50.  2. 42. 48.  3. 35. 91. 66. 66. 97. 13. 74. 50. 30. 66.
 85. 51. 22. 87. 32.  1. 38. 41. 84. 68. 36.  2.  6. 12. 48. 13. 81. 32.
  7. 75. 67. 17. 29. 27. 29. 94. 60. 27. 58.]"
"(20, 0.25, 0, 0.05, 0.15)",24.4,20.0,30.0,3.52703841770968,82328.82317999999,67766.69,103125.47420000001,9415.635432245725,"[ 47.  57.  11.   5.   3.   5.  26.  11.  18.  49.  12.   4.   9.   4.
  25.  19.  36.   4.  16.  31.  27.  19.  35.  25.  14.  17.  13.  17.
   3.  51.  45.  12.   2.  19.  54.   5.  36.  56.  38.  29.  50.  22.
  39.  74.  40.   3.   1.  17.  16. 100.  79.  33.   6.  98.   0.  86.
  50.  45.   0.  36.  38.  41.  98.  87.  49.  87.  44.  97.   1.  85.
  78.  29.   3.  14.  74.  90.  16.  34.  95.  57.  70.  27.   0.  14.
  49.  93.  87.  37.  93.  92.  80.  96.  92.  68.  83.  60.  90.  15.
  37.  50.  43.]"
"(20, 0.25, 0, 0.15, 0.05)",22.0,19.0,28.0,2.569046515733026,233055.08219,208687.90230000002,287783.60800000007,21862.62211101749,"[ 92.  24.  55.  66.  50.  87.  22.  35.  62.  20.  16.  26.  51.   3.
  28.  56.  31.   2.  37.   4.  82.   7.  31.  47.  10.  29.  82.  20.
  23.  34.  22.   7.  43.  34.  49.  10.  61.  61.  27.  41.   8.  15.
  40.   4.  89.  33.  50.  14.  19.  27.  18.   8.  75.  40.  14. 100.
  75.  72.  93.  29.  14.  92.  77.  29.  42.  71.  84.  50.  81.  38.
  82.  74.  73.  39.  64.  78.  54.  49.  32.  22.  44.  29.  25.  49.
  13.  61.  86.  19.  79.  56.  90.  79.  41.  66.  33.  79.  96.  43.
  77.  28.  46.]"
