Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0, 0.05, 0.15)",82.0,72.0,92.0,5.403702434442518,421110.52155,400841.1418000001,456920.68720000004,16040.111740521945,"[ 72.  31.  11.  35.  52.  20.  69.   2.  75.  94.  54.  55.  86.  71.
   3.   4.   5.   7.   5.   2.  45.  18.  30.  39.   9.  24.  91.  17.
   4.   3.  12.   5.   1.  15.  87.  18.  41.  16.  61.  91.  39.  42.
  60.  59.  61.  13.  45.  83.  75.  95.  46.  36.  44.  37.  25.  21.
  60.  80.  21.  84.  73.   2.   2.   1.  46.  42.  49.  55.  49.  37.
  58.  60.  24.  79.  57.  88.   1. 100.  19.  88.  24.   3.  89.  63.
  17.  39.  54.  83.  79.  71.  38.  44.   3.  26.  71.  19.  19.  42.
  97.  94.   0.]"
"(10, 0.25, 0, 0.15, 0.05)",64.0,49.0,72.0,7.280109889280518,524871.06251,468412.1621999999,562382.5899,28897.705413805026,"[77. 38. 17. 27. 64.  7. 98. 87. 57. 77. 83. 93.  4.  5. 12. 25. 28. 18.
 79. 38.  6.  6. 13. 52. 11. 83. 66. 83.  1. 14. 97.  1. 17. 12. 39. 85.
  8. 45.  4. 18. 64. 66.  6. 39. 55. 18. 32. 71. 81. 45. 76. 56. 85. 57.
 60.  2. 22. 24.  1.  1. 85. 21. 45. 14.  4. 80. 19. 19. 57. 54. 29. 62.
 67. 33. 73. 28. 18. 26.  3. 35. 60. 70. 14. 84. 31. 85. 39.  0. 98. 56.
 16. 97. 91. 97. 25. 48. 92. 39. 10. 74. 95.]"
"(10, 0.25, 1, 0.05, 0.15)",65.8,49.0,82.0,9.282241108697836,599088.0264099999,570124.1662999999,634157.8187999998,25248.751418951644,"[  5.  38.  85.  37.  60.  78.  96.  91.  40.  69.  85.  76. 100.  30.
  98.   5.  39.   5.  44.  11.   6.   4.  11.  12.  26.   6.   9.  78.
  61.  61.  16.  19.  16.  38.  91.   8.  76.   7.  53.  29.  36.  15.
  36.  66.  52.   8.  89.  96.  38.  45.  68.  72.  86.  89.  82.  58.
  79.  80.  32.   5.  17.  95.  62.  69.   7.  32.  57.  74.  23.   1.
   0.  41.  88.  78.  42.  89.  99.  37.  86.  70.  97.  18.   0.  95.
  93.  53.  62.  94.   2.  13.  96.  48.  53.   7.  76.  74.  63.  76.
   0.  95.  38.]"
"(10, 0.25, 1, 0.15, 0.05)",44.2,37.0,50.0,3.841874542459709,565700.95698,503483.0409000001,622171.9446000002,34126.85107224503,"[ 57.  73.  31.  48.  87. 100.  78.  92.  33.  24.  29.  65.  26.   4.
  99.  30.  81.  20.  81.  22.   8.   9.  72.  74.   9.  87.  82.  58.
  73.  19.  10.  38.   4.  85.  21.  20.  40.  15.  49.  33.   3.  55.
   5.  77.  19.  12.  97.   1.  91.  64. 100.  35.  85.  46.  27.  46.
  19.  16.  55.  30.  35.  31.  66.  90.  15.  43.  51.  20.  45.  37.
  45.  67.  33.  18.  17.  22.   4.  60.  18.  80.  79.  80.  61.  50.
  27.  19.  33.   6.  19.  43.  28.  14.  58.  78.   4.  14.  90.  95.
  71.  31.  10.]"
"(10, 0.5, 0, 0.05, 0.15)",102.5,91.0,110.0,6.08687111741328,349898.82081000006,305089.5007,403452.1454000001,27013.269547539465,"[18. 59. 56. 56.  1. 39. 98. 46.  2. 32.  3. 94.  4.  5.  5. 62. 85. 60.
  5.  6.  4.  9. 11.  7. 48. 18. 45. 95. 83.  8. 26. 31. 55. 12. 20. 38.
 93. 59. 17. 55. 17. 22. 22. 44. 99. 23. 24. 43.  3. 48. 35. 91. 13. 55.
 18. 82. 21. 36. 14.  9. 96.  9.  8. 61. 96. 71. 45. 75. 48. 90. 64. 10.
 74. 31. 30. 68. 21. 30. 90. 95. 10. 92. 56. 14.  1. 34. 20. 96. 81. 57.
 88. 65. 96. 58. 82.  3. 49. 91. 43. 66. 69.]"
"(10, 0.5, 0, 0.15, 0.05)",49.0,37.0,63.0,8.706319543871567,639590.52612,599026.7867,690001.0751999998,31797.78552571896,"[36. 10. 43. 31. 48. 83. 65. 85. 72. 91. 98. 93. 21.  4.  4.  7. 99. 40.
 85. 20.  7.  5. 67. 11. 64. 52. 11.  8. 14. 21. 81. 85. 55. 40. 38. 45.
 85. 73. 96.  1.  7.  9. 57. 21. 75.  5. 47. 94. 23. 48. 53. 21. 21. 32.
 13. 64. 41. 18. 46. 20. 57. 94. 85. 95. 91. 25. 85. 11. 57. 28. 65. 43.
 39.  7.  9. 46. 61. 81. 95. 73. 43. 59. 90. 27. 37. 43. 52. 12. 58.  6.
 46. 38. 33. 29. 62. 24. 30. 80. 42. 92. 53.]"
"(10, 0.5, 1, 0.05, 0.15)",56.7,44.0,70.0,7.071774883294857,485742.90391999995,451722.2923,524759.6345,21194.914633563425,"[ 95.  48.  43.  50.   0.  82.   4.  42.  69.  22.  38.  56. 100.  91.
  76.  21.  48.   5.  37.   3.  63.  96.   8.  14.  47.  46.  85.  40.
  99.  23.  14.  19.  75.  12.  17.  16.  68.  21.  96.  13.  24.  19.
  52.  48.  30.  24.  30.  68.   2.  66.  50.  81.  48.  52.  33.  70.
  13.  24.   2.  45.  91.  31.  34.  10.  96.  36.  92.  62.  80.  39.
  47.  92.  94.  94.  28.  55.  32.  30.  37.  39.  37.   0.  50.  29.
  30.   3.  45.  82.  43.  96.  99.   4.  67.  41.  90.  74.  59.  49.
  48.  15.  60.]"
"(10, 0.5, 1, 0.15, 0.05)",59.7,51.0,67.0,4.859012245302537,408092.2217,327665.9307999999,515224.58530000004,48250.78276483685,"[ 25.  19.  75.  48.  44.  74.  90.  11.   2.  26.   3.  33.  10.  63.
 100.  70.  12.  63.  11.   7.  11.  66.  41.  11.   1.  82.  89.   3.
 100.  11.  68.  44.  28.  22.  11.  15.  85.  34.  54.  39.  16.  67.
  24.   7.  39.  45.  76.  99.  97.  71.  60.  92.  90.  47.  14.  50.
  13.  37.  11.  72.  65.   5.  58.  10.  38.  16.  28.  39.   9.  75.
  84.  29.  36.  85.  67.  93.  95.  24.  29.  87.  30.  40.  13.  73.
  14.  41.  73.  51.  79.  96.  89.  87.  43.  70.  10.  72.  69.  49.
  12.  57.   9.]"
"(20, 0.25, 0, 0.05, 0.15)",89.1,80.0,95.0,4.504442251822083,316458.26696000004,276532.12820000004,375580.5245,30621.456489322933,"[ 71.  14.  16.   1.   1.  48.  66. 100.   3.  57.   3.  82.  14.  12.
   4.   8.   8.  15.  29.  99.  42.  21.   9.   7.  70.   6.  45.  10.
  51.  94.  12.  44.  65.   5.  52.  38.  28.  25.  57.  97.  34.   8.
  73.  60.  26.   0.  70.  79.  45.  84.   8.  32.  55.  13.   0.  37.
  84.  36.  66.  28.  75.  14.   2.  86.  27.  24.   7.  15.  41.   0.
   5.  37.  77.  35.  73.  60.  28.  65.  41.  97.  15.  48.  12.   7.
 100.  31.  92.  25.  87.  43.  24.  63.  43.  65.  45.  29.  96.   9.
  21.  12.  57.]"
"(20, 0.25, 0, 0.15, 0.05)",59.0,54.0,66.0,3.4351128074635335,460081.41972,446549.2818999999,476485.7029,10708.61406028134,"[ 88.  61.  61.  67.   2.  52.  55.  77.  79.   4.  98.  16.   3.   4.
  27.  55.  71.   1.  11.   8.  83.  71.   6.  14.  52.  32.   9.   0.
  65.  51.  12.  19.  44.  45.  88.  22.  56.  11.  15.  82.  60.  31.
  85.  59.  61.  14.  40.  24.  95.  64.  24.   3.  31.  46.  32.  33.
  94.  12.  49.  20.   0.  12.  51.  43.  35. 100.  41.   0.  74.  13.
  74.  88.  65.  87.  28.  13.  51.  72.  10.   5.  91.   7.  34.  11.
  86.  31.  42.  25.  12.  96.  58.   0.   0.  66.  31.   3.  40.  88.
  40.  23.  62.]"
"(20, 0.25, 1, 0.05, 0.15)",105.7,97.0,114.0,5.9,496384.39937000006,469141.01740000007,532883.4681,22416.511082988247,"[ 53.  89.  97.  18.  79.  74.  28.  38.  92.  91.   3.  65.   5.  57.
  95.   6.   5.   5.   8.   7.  43.   6.   7.   7.   3.  43.  41.  60.
  25.  82.  31.  94.  40.  17.  19.  92.   3.  95.  44.  14.  10.  20.
  27.  54.  75.  62.  45.  23.  87.  99.  17.  28.  90.  50.  22.  25.
  18.  91.  10.  49.  53.  88.  78.  32.  63.  46.  79.  51.  45.  77.
  98.  82.  79.  16.  66.  99.  94.  37.  51.  72.  75.   6.  38.  40.
  77.  56.  83.  26.  95.  90.  63.  19.  23.  28.  60.  48.  89.  22.
 100.  85.   5.]"
"(20, 0.25, 1, 0.15, 0.05)",59.4,52.0,67.0,5.332916650389353,613481.67958,585872.3781000001,640331.4086,17467.77152807528,"[ 69.  83.  17.  63.  67.  60.  51.  93.  99.  42.  31.  55.  92.   4.
  89.   8.  24.  85.  98.  34.  97.  13.  67.  20.   9.  10.  44.  26.
  72.  56.  78.  39.  97.  63.  20.  93.  34.   6.  84.   9.  14.  67.
  24.  96.  67.  55.  25.  74.  21.  17.  61.  74.  48.  90.  84.  64.
  21.  29.  79.   0.  91.  50.  59.  53.  96.  51.  65.  54.  81.  76.
  14.  30.  20.  43.  55.  40.  95.  90.  74.  57.  21.  13.  70.  10.
  72.  86.  68.  41.  79.  63.  45.  77.   0.  28.   1.  92. 100.  51.
 100.  95.   9.]"
"(20, 0.5, 0, 0.05, 0.15)",101.4,85.0,111.0,7.977468270071652,288653.74671,236951.28199999998,334148.945,29541.48354593801,"[10.  7. 88. 49. 13. 54. 98. 46.  3.  0. 42.  4.  4.  4.  4.  7.  8.  2.
 65.  2. 68. 20.  7.  3.  9. 51. 11.  8. 74. 14. 86. 27. 14. 33. 17. 19.
 43. 31. 20.  7. 37. 40. 20. 75. 10.  7. 83. 16. 40. 27. 69. 22.  5. 64.
 26. 34. 38. 51. 42. 60. 62. 81.  2. 72. 67. 63. 53. 81. 53. 26. 62. 57.
 29. 64. 20. 69. 58.  1. 13. 87. 71. 52. 10. 93. 65. 47. 48. 59. 88. 20.
 60. 40. 25. 81. 43. 61. 71. 77. 54.  4. 87.]"
"(20, 0.5, 0, 0.15, 0.05)",71.6,59.0,79.0,6.069596362197408,599004.51404,567578.9129,653707.1900000001,23564.242596033124,"[43. 94. 82. 98. 53.  8. 25. 90. 51.  3. 22. 76. 72.  6. 66.  0. 44. 41.
 95. 98.  6.  7. 17.  9. 62.  0. 11. 12. 55. 78. 94. 31. 99. 16. 16.  8.
 52. 18. 81. 12. 10. 19. 22. 92. 75. 60. 81.  9. 17. 82. 47. 14. 82. 35.
  7. 11. 91. 25. 45.  4. 22. 23. 58. 11. 96. 53. 60. 99. 59. 51. 20. 54.
 52. 86.  4. 41. 59. 87.  6. 82. 40. 66. 93. 94. 35. 37. 16. 10. 61. 94.
 42. 91. 82. 58. 98. 24. 32. 11. 73. 43. 65.]"
"(20, 0.5, 1, 0.05, 0.15)",94.6,83.0,107.0,7.787168933572714,344442.48475,305522.5823,371818.29030000005,21405.64961870995,"[ 61.  39.  80.  35.  75.  75.  38.  33.   2.  79.   3.   3.  53.  28.
  42.   9.   3.   5.   0.   6.   7.  21.  73.  63. 100.  16.  48.  12.
  30.  49.  27.  71.  13.  29.  42.  88.   6.  58.   9.   8.  72.   5.
  25.  11.   0.  85.  23.  42.  29.  10.  29.  68.  14.  35.  75.  31.
  79.  54.  37.  56.  14.  40.  36.  15.  46.  53.   3.  63.  42.  68.
  25.  54.  10.   6.  60.  17.  40.  11.  82.  55.  93.  13.  12.  12.
  39.  29.  85.  34.  39.  33.  97.  91.   7.  52.  46.  96.  74.  71.
   7.  16.  68.]"
"(20, 0.5, 1, 0.15, 0.05)",77.8,74.0,88.0,4.214261501141095,593433.50561,556138.5949,621411.0965,18553.038598724153,"[100.  43.  49.  54.  72.  78.  64.  95.  94.  87.  87.  24.   6.  64.
   6. 100.  68.  77.  14.  73.   7.   6.   7.  47.   8.  54.  55.  54.
  73.  61.  41.   0.  44.  20.  81.  14.  29.  61.  43.  41.  40.  51.
  71.   6.  39.  93.  15.  81.  42.  39.  75.   8.  12.  76.  27.  34.
  96.  77.  15.  38.  98.  52.  87.  23.  93.  12.  35.  32.  49.  72.
  88.  41.  63.  66.   8.  91.  18.  65.  33.   9.   5.  26.  27.  21.
  43.  12.   2.  33.  50.  19.  23.  80.  41.  97.  77.  23.  74.  89.
   3.  74.  19.]"
"(40, 0.25, 0, 0.05, 0.15)",122.1,113.0,133.0,6.441273166075167,255341.43078,226980.10310000004,276307.1564,15935.14351082096,"[ 78.  48.  77.  39.   1.   2.   2.   2.   2.   3.  19.  14.   1.  39.
   4.   4.   5.  89.  88.  47.  50.   7.  28.  14.   8.   3.   7.  27.
  13.  20.  17.  18.  75.  66.   8.  53.  30.  12.  49.  12.  89.   3.
  85.  48.   2.  45.  31.  30.   7.  45.  44.  89.  65.   0.   8.  15.
  11.  49.  59.  31.  60.   7.  58.  86.  17.  78.  92.  48.  34.  58.
 100.  50.  77.  94.  83.  56.  70.  87.  27.  37.  17.  60.  91.  62.
  46.  74.  18.  29.   8.  92.  59.  38.  46.  28.  81.   6.  43.  75.
  23.   5.  72.]"
"(40, 0.25, 0, 0.15, 0.05)",73.4,67.0,81.0,4.498888751680797,604055.25043,553435.5281,644636.0501,33281.16621067986,"[71.  8. 66. 38. 58. 45.  2. 42. 81. 33. 91.  3. 74. 78. 21. 84. 72. 55.
 79.  6. 83.  6. 88. 80.  7.  7.  8. 91. 78. 25. 56. 36.  8. 22. 52. 24.
 77. 71. 30.  3. 23. 67. 21. 99. 16. 85. 35. 61. 23. 33. 88. 56. 47. 96.
 82. 36. 91. 65. 42.  3. 34. 93. 49. 47. 97. 46. 61. 50. 33. 34.  4. 91.
 68. 20. 58. 62. 19. 64. 78. 46. 40. 49. 45. 56. 40. 72. 32. 82.  1. 49.
 70. 72. 50. 65. 40. 85. 72. 25. 30. 13.  9.]"
"(40, 0.25, 1, 0.05, 0.15)",107.6,95.0,122.0,7.552483035399682,410927.38248,341726.8037,456321.2271,32806.8198914753,"[ 59.  61.  98.  59.   1.   1.   2.   2.  47.   7.  18.   3.   3.   4.
  78.  97.   5.  14.   6.  95.   6.  30.  71.  39.   7.  68.   1.  11.
  59.  32.  63.  10.  65.  15.  83.  67.  42.  12.  70.  21.  23.  28.
  50.  15.   3.  20.  34.   5.  16.  46.   0.  94.   8.   4.  30.  76.
  89.  39.  61.  28.   7.   6.  83.  59.  77. 100.  29.  47.  75.  12.
 100.  24.  32.  95.  27.  14.  33.  54.  96.  85.  45.  28.  26.  82.
  80.  47.  41.  60.  32.  46.  17.  84.  66.  10.  51.  97.  92.  46.
  92.  85.  47.]"
"(40, 0.25, 1, 0.15, 0.05)",72.3,59.0,86.0,8.614522621712709,568924.9525799998,532537.7562,601326.9870000001,21274.231344833057,"[ 25.  44.   0.  18.  24.  88.  66.  90.   2.  81.  73.   8.  69.   5.
  22.  86.  71.  81.  19.   6.   6.  52.  44.  75.  95.  66.  94.  15.
  26.  51.  30.  91.  43.  12.  11.  21.  56.  21.  34.  95.  17.  29.
   7.  24.  67.  35.  20.  38.   9.  90.  38.  44.  71.  13.   9.   5.
 100. 100.  88. 100.  81.  65.  72.  17.  83.   6.   4.  16.  66.  95.
  84.   9.  31.   9.  49.  76.  36.  93.   5.  50.  24.  15.  40.   4.
  42.  16.  68.  62.  49.  53.  60.  68.  87.  38.  36.  25.  68.  26.
  37.  38.  76.]"
